timestamp,camera,ball_detected,ball_x,ball_y,ball_area,tag4_detected,tag4_x,tag4_y,tag5_detected,tag5_x,tag5_y
1764422090.059,kreo1,True,64,174,788,False,,,False,,
1764422090.065,kreo2,True,548,458,684,False,,,False,,
1764422090.089,kreo2,True,548,458,704,False,,,False,,
1764422090.129,kreo1,True,64,173,738,False,,,False,,
1764422090.249,kreo2,True,548,458,708,False,,,False,,
1764422090.259,kreo1,True,64,174,756,False,,,False,,
1764422090.298,kreo2,True,548,458,700,False,,,False,,
1764422090.341,kreo1,True,64,174,780,False,,,False,,
1764422090.353,kreo2,True,548,458,708,False,,,False,,
1764422090.382,kreo2,True,548,458,702,False,,,False,,
1764422090.361,kreo1,True,770,432,764,False,,,False,,
1764422090.395,kreo1,True,771,432,734,False,,,False,,
1764422090.398,kreo2,True,548,458,706,False,,,False,,
1764422090.427,kreo2,True,548,458,692,False,,,False,,
1764422090.433,kreo1,True,64,174,774,False,,,False,,
1764422090.464,kreo1,True,63,174,804,False,,,False,,
1764422090.457,kreo2,True,548,458,704,False,,,False,,
1764422090.486,kreo2,True,548,458,690,False,,,False,,
1764422090.493,kreo1,True,771,433,706,False,,,False,,
1764422090.520,kreo2,True,548,458,660,False,,,False,,
1764422090.529,kreo1,True,64,174,784,False,,,False,,
1764422090.552,kreo2,True,548,458,702,False,,,False,,
1764422090.560,kreo1,True,64,173,738,False,,,False,,
1764422090.583,kreo2,True,548,458,702,False,,,False,,
1764422090.597,kreo1,True,771,432,738,False,,,False,,
1764422090.613,kreo1,True,64,174,762,False,,,False,,
1764422090.619,kreo2,True,548,458,692,False,,,False,,
1764422090.646,kreo1,True,770,432,758,False,,,False,,
1764422090.650,kreo2,True,548,458,698,False,,,False,,
1764422090.695,kreo2,True,548,458,698,False,,,False,,
1764422090.681,kreo1,True,64,173,750,False,,,False,,
1764422090.716,kreo1,True,770,432,762,False,,,False,,
1764422090.723,kreo2,True,548,458,698,False,,,False,,
1764422090.752,kreo2,True,548,458,710,False,,,False,,
1764422090.730,kreo1,True,64,174,760,False,,,False,,
1764422090.763,kreo1,True,770,432,762,False,,,False,,
1764422090.783,kreo2,True,548,458,696,False,,,False,,
1764422090.793,kreo1,True,770,432,760,False,,,False,,
1764422090.811,kreo1,True,64,174,778,False,,,False,,
1764422090.819,kreo2,True,548,458,696,False,,,False,,
1764422090.850,kreo1,True,770,431,738,False,,,False,,
1764422090.853,kreo2,True,548,458,702,False,,,False,,
1764422090.877,kreo1,True,770,431,740,False,,,False,,
1764422090.886,kreo2,True,549,458,676,False,,,False,,
1764422090.915,kreo1,True,770,432,762,False,,,False,,
1764422090.924,kreo2,True,548,458,688,False,,,False,,
1764422090.945,kreo1,True,63,174,766,False,,,False,,
1764422090.950,kreo2,True,548,458,702,False,,,False,,
1764422090.978,kreo1,True,64,173,768,False,,,False,,
1764422090.982,kreo2,True,548,458,690,False,,,False,,
1764422090.998,kreo2,True,548,458,708,False,,,False,,
1764422091.016,kreo1,True,65,173,720,False,,,False,,
1764422091.022,kreo2,True,548,458,692,False,,,False,,
1764422091.051,kreo2,True,548,458,698,False,,,False,,
1764422091.046,kreo1,True,771,431,718,False,,,False,,
1764422091.081,kreo1,True,64,174,760,False,,,False,,
1764422091.083,kreo2,True,548,458,686,False,,,False,,
1764422091.111,kreo1,True,771,432,740,False,,,False,,
1764422091.106,kreo2,True,548,458,704,False,,,False,,
1764422091.137,kreo2,True,548,458,694,False,,,False,,
1764422091.172,kreo2,True,548,458,686,False,,,False,,
1764422091.177,kreo1,True,64,174,772,False,,,False,,
1764422091.203,kreo2,True,548,458,692,False,,,False,,
1764422091.209,kreo1,True,63,174,774,False,,,False,,
1764422091.234,kreo1,True,64,174,764,False,,,False,,
1764422091.236,kreo2,True,548,458,692,False,,,False,,
1764422091.264,kreo1,True,771,431,714,False,,,False,,
1764422091.267,kreo2,True,548,458,696,False,,,False,,
1764422091.299,kreo2,True,548,458,706,False,,,False,,
1764422091.294,kreo1,True,64,174,784,False,,,False,,
1764422091.317,kreo1,True,64,174,776,False,,,False,,
1764422091.321,kreo2,True,548,458,684,False,,,False,,
1764422091.347,kreo1,True,770,431,740,False,,,False,,
1764422091.352,kreo2,True,548,458,712,False,,,False,,
1764422091.381,kreo1,True,64,174,782,False,,,False,,
1764422091.384,kreo2,True,548,458,678,False,,,False,,
1764422091.409,kreo1,True,63,174,776,False,,,False,,
1764422091.428,kreo2,True,548,458,698,False,,,False,,
1764422091.431,kreo1,True,64,173,752,False,,,False,,
1764422091.459,kreo2,True,548,458,706,False,,,False,,
1764422091.465,kreo1,True,771,432,740,False,,,False,,
1764422091.490,kreo2,True,548,458,684,False,,,False,,
1764422091.493,kreo1,True,64,174,764,False,,,False,,
1764422091.517,kreo1,True,771,432,732,False,,,False,,
1764422091.520,kreo2,True,548,458,698,False,,,False,,
1764422091.548,kreo1,True,64,174,774,False,,,False,,
1764422091.552,kreo2,True,549,458,678,False,,,False,,
1764422091.578,kreo1,True,64,174,778,False,,,False,,
1764422091.583,kreo2,True,548,458,678,False,,,False,,
1764422091.604,kreo2,True,548,458,704,False,,,False,,
1764422091.611,kreo1,True,771,432,732,False,,,False,,
1764422091.638,kreo1,True,64,174,756,False,,,False,,
1764422091.641,kreo2,True,548,458,682,False,,,False,,
1764422091.667,kreo1,True,770,432,758,False,,,False,,
1764422091.668,kreo2,True,548,458,698,False,,,False,,
1764422091.696,kreo1,True,63,174,816,False,,,False,,
1764422091.696,kreo2,True,548,458,684,False,,,False,,
1764422091.718,kreo2,True,548,458,690,False,,,False,,
1764422091.730,kreo1,True,64,174,768,False,,,False,,
1764422091.756,kreo2,True,548,458,706,False,,,False,,
1764422091.783,kreo2,True,548,458,688,False,,,False,,
1764422091.763,kreo1,True,771,432,740,False,,,False,,
1764422091.792,kreo1,True,64,174,788,False,,,False,,
1764422091.819,kreo2,True,548,458,700,False,,,False,,
1764422091.812,kreo1,True,771,431,708,False,,,False,,
1764422091.849,kreo1,True,770,431,750,False,,,False,,
1764422091.851,kreo2,True,548,458,700,False,,,False,,
1764422091.883,kreo2,True,548,458,678,False,,,False,,
1764422091.878,kreo1,True,63,174,800,False,,,False,,
1764422091.904,kreo2,True,548,458,708,False,,,False,,
1764422091.909,kreo1,True,770,432,762,False,,,False,,
1764422091.934,kreo1,True,63,174,826,False,,,False,,
1764422091.940,kreo2,True,548,458,682,False,,,False,,
1764422091.966,kreo1,True,771,432,742,False,,,False,,
1764422091.968,kreo2,True,548,458,688,False,,,False,,
1764422092.023,kreo2,True,548,458,696,False,,,False,,
1764422091.997,kreo1,True,770,431,740,False,,,False,,
1764422092.030,kreo1,True,64,174,766,False,,,False,,
1764422092.052,kreo2,True,548,458,696,False,,,False,,
1764422092.070,kreo1,True,771,432,734,False,,,False,,
1764422092.105,kreo2,True,548,458,704,False,,,False,,
1764422092.109,kreo1,True,64,174,778,False,,,False,,
1764422092.137,kreo2,True,548,457,658,False,,,False,,
1764422092.138,kreo1,True,62,173,742,False,,,False,,
1764422092.164,kreo1,True,63,174,760,False,,,False,,
1764422092.169,kreo2,True,548,458,702,False,,,False,,
1764422092.200,kreo2,True,548,458,696,False,,,False,,
1764422092.198,kreo1,True,63,174,794,False,,,False,,
1764422092.229,kreo1,True,64,174,782,False,,,False,,
1764422092.234,kreo2,True,548,458,676,False,,,False,,
1764422092.261,kreo1,True,771,432,730,False,,,False,,
1764422092.267,kreo2,True,548,458,702,False,,,False,,
1764422092.283,kreo2,True,548,458,680,False,,,False,,
1764422092.297,kreo1,True,63,174,776,False,,,False,,
1764422092.299,kreo2,True,548,458,700,False,,,False,,
1764422092.330,kreo1,True,770,431,732,False,,,False,,
1764422092.321,kreo2,True,548,458,704,False,,,False,,
1764422092.353,kreo2,True,548,458,702,False,,,False,,
1764422092.383,kreo2,True,548,458,672,False,,,False,,
1764422092.363,kreo1,True,64,173,746,False,,,False,,
1764422092.410,kreo2,True,548,458,696,False,,,False,,
1764422092.393,kreo1,True,64,174,786,False,,,False,,
1764422092.413,kreo1,True,771,432,740,False,,,False,,
1764422092.442,kreo2,True,548,458,668,False,,,False,,
1764422092.471,kreo2,True,548,458,704,False,,,False,,
1764422092.445,kreo1,True,64,174,758,False,,,False,,
1764422092.477,kreo1,True,64,174,802,False,,,False,,
1764422092.500,kreo2,True,548,458,700,False,,,False,,
1764422092.509,kreo1,True,770,432,756,False,,,False,,
1764422092.528,kreo1,True,64,174,778,False,,,False,,
1764422092.534,kreo2,True,548,458,682,False,,,False,,
1764422092.560,kreo1,True,63,172,762,False,,,False,,
1764422092.566,kreo2,True,548,458,696,False,,,False,,
1764422092.593,kreo2,True,548,457,656,False,,,False,,
1764422092.593,kreo1,True,64,174,768,False,,,False,,
1764422092.610,kreo1,True,771,431,718,False,,,False,,
1764422092.627,kreo2,True,548,458,700,False,,,False,,
1764422092.645,kreo1,True,62,174,788,False,,,False,,
1764422092.657,kreo2,True,548,458,702,False,,,False,,
1764422092.690,kreo2,True,548,458,680,False,,,False,,
1764422092.686,kreo1,True,62,174,768,False,,,False,,
1764422092.709,kreo1,True,771,432,728,False,,,False,,
1764422092.719,kreo2,True,548,458,704,False,,,False,,
1764422092.730,kreo1,True,771,432,746,False,,,False,,
1764422092.752,kreo2,True,548,458,690,False,,,False,,
1764422092.783,kreo2,True,548,458,688,False,,,False,,
1764422092.769,kreo1,True,770,432,758,False,,,False,,
1764422092.793,kreo1,True,62,174,764,False,,,False,,
1764422092.819,kreo2,True,548,458,706,False,,,False,,
1764422092.811,kreo1,True,771,431,704,False,,,False,,
