timestamp,camera,ball_detected,ball_x,ball_y,ball_area,tag4_detected,tag4_x,tag4_y,tag5_detected,tag5_x,tag5_y
1763885687.157,kreo2,True,761,418,702,False,,,False,,
1763885687.168,kreo1,True,798,655,1050,False,,,False,,
1763885687.190,kreo2,True,250,375,656,False,,,False,,
1763885687.389,kreo2,True,250,376,604,False,,,True,111,510
1763885687.348,kreo1,True,798,655,1046,False,,,True,822,435
1763885687.400,kreo1,True,798,654,1026,False,,,True,822,435
1763885687.437,kreo1,True,798,654,1026,False,,,True,822,435
1763885687.477,kreo1,True,798,655,1048,False,,,True,822,435
1763885687.467,kreo2,True,250,376,636,False,,,True,111,509
1763885687.502,kreo1,True,798,654,1028,False,,,True,822,434
1763885687.526,kreo2,True,250,374,640,False,,,True,111,509
1763885687.543,kreo1,True,798,654,1034,False,,,True,821,434
1763885687.541,kreo2,True,249,375,646,False,,,True,110,510
1763885687.579,kreo1,True,798,654,1026,False,,,True,821,434
1763885687.577,kreo2,True,760,417,794,False,,,True,110,510
1763885687.611,kreo2,True,249,375,666,False,,,True,110,510
1763885687.606,kreo1,True,798,654,1030,False,,,True,821,435
1763885687.636,kreo1,True,798,654,1022,False,,,True,821,435
1763885687.640,kreo2,True,249,375,640,False,,,True,110,510
1763885687.676,kreo2,True,250,375,662,False,,,True,110,510
1763885687.671,kreo1,True,798,655,1054,False,,,True,822,434
1763885687.702,kreo1,True,798,654,1020,False,,,True,822,434
1763885687.708,kreo2,True,249,376,660,False,,,True,111,510
1763885687.734,kreo1,True,798,654,1026,False,,,True,822,434
1763885687.728,kreo2,True,250,375,622,False,,,True,111,510
1763885687.770,kreo1,True,798,654,1030,False,,,True,822,434
1763885687.761,kreo2,True,250,376,636,False,,,True,111,510
1763885687.793,kreo2,True,251,376,632,False,,,True,111,510
1763885687.816,kreo1,True,798,654,1026,False,,,True,821,434
1763885687.825,kreo2,True,750,425,964,False,,,True,111,510
1763885687.835,kreo1,True,798,654,1038,False,,,True,821,434
1763885687.849,kreo1,True,798,654,1034,False,,,True,821,434
1763885687.860,kreo2,True,249,377,676,False,,,True,111,510
1763885687.872,kreo1,True,798,655,1042,False,,,True,821,434
1763885687.890,kreo2,True,249,375,640,False,,,True,111,510
1763885687.912,kreo1,True,798,655,1058,False,,,True,821,434
1763885687.923,kreo2,True,250,375,668,False,,,True,111,510
1763885687.941,kreo1,True,798,654,1026,False,,,True,821,434
1763885687.944,kreo2,True,760,420,768,False,,,True,111,510
1763885687.971,kreo1,True,798,655,1046,False,,,True,821,434
1763885687.979,kreo2,True,249,375,646,False,,,True,111,510
1763885688.020,kreo2,True,249,376,636,False,,,True,111,510
1763885688.001,kreo1,True,798,654,1026,False,,,True,821,434
1763885688.034,kreo1,True,798,654,1034,False,,,True,821,434
1763885688.039,kreo2,True,759,425,662,False,,,True,111,510
1763885688.057,kreo1,True,798,655,1050,False,,,False,,
1763885688.082,kreo2,True,249,376,636,False,,,True,111,510
1763885688.088,kreo1,True,798,654,1030,False,,,False,,
1763885688.117,kreo1,True,798,655,1032,False,,,True,821,435
1763885688.115,kreo2,True,249,376,654,False,,,True,111,510
1763885688.141,kreo2,True,250,375,656,False,,,False,,
1763885688.173,kreo1,True,798,655,1050,False,,,True,821,435
1763885688.175,kreo2,True,249,376,628,False,,,False,,
1763885688.238,kreo1,True,798,654,1018,False,,,True,821,434
1763885688.210,kreo2,True,250,376,622,False,,,False,,
1763885688.240,kreo2,True,250,374,600,False,,,False,,
1763885688.279,kreo2,True,757,425,792,False,,,False,,
1763885688.274,kreo1,True,798,654,1026,False,,,True,821,435
1763885688.310,kreo2,True,249,376,656,False,,,True,111,510
1763885688.312,kreo1,True,798,654,1026,False,,,True,822,434
1763885688.336,kreo1,True,798,655,1058,False,,,True,822,434
1763885688.342,kreo2,True,249,376,620,False,,,True,111,510
1763885688.371,kreo1,True,798,655,1046,False,,,True,822,434
1763885688.380,kreo2,True,249,375,656,False,,,True,111,509
1763885688.408,kreo1,True,798,654,1034,False,,,True,822,434
1763885688.436,kreo1,True,798,654,1018,False,,,True,822,434
1763885688.410,kreo2,True,249,376,650,False,,,True,111,509
1763885688.441,kreo2,True,759,426,716,False,,,True,111,509
1763885688.477,kreo2,True,250,376,604,False,,,True,111,509
1763885688.471,kreo1,True,797,654,1042,False,,,True,822,434
1763885688.517,kreo2,True,250,376,638,False,,,True,111,509
1763885688.512,kreo1,True,798,654,1030,False,,,True,821,434
1763885688.540,kreo2,True,250,374,648,False,,,True,111,509
1763885688.533,kreo1,True,798,654,1034,False,,,True,821,434
1763885688.549,kreo1,True,798,654,1022,False,,,True,821,434
1763885688.570,kreo1,True,798,655,1050,False,,,True,821,434
1763885688.575,kreo2,True,249,375,664,False,,,True,111,510
1763885688.608,kreo1,True,798,654,1028,False,,,True,821,434
