timestamp,camera,status,color,x,y,w,h,area
1763873648.782,kreo2,DETECTED,orange,766,478,30,30,642
1763873648.764,kreo1,DETECTED,orange,522,410,30,34,772
1763873648.845,kreo2,DETECTED,orange,766,480,30,28,638
1763873648.945,kreo2,DETECTED,orange,766,480,30,28,622
1763873649.045,kreo2,DETECTED,orange,766,478,30,30,650
1763873649.113,kreo2,DETECTED,orange,766,478,30,30,648
1763873649.181,kreo2,DETECTED,orange,766,478,30,30,652
1763873649.245,kreo2,DETECTED,orange,766,480,30,28,640
1763873649.314,kreo2,DETECTED,orange,766,478,30,30,648
1763873649.345,kreo2,DETECTED,orange,766,480,30,28,630
1763873649.365,kreo1,DETECTED,orange,522,410,30,34,766
1763873649.382,kreo2,DETECTED,orange,766,480,30,28,610
1763873649.397,kreo1,DETECTED,orange,522,410,30,34,762
1763873649.415,kreo2,DETECTED,orange,766,478,30,30,638
1763873649.428,kreo1,DETECTED,orange,522,410,30,36,776
1763873649.428,kreo1,DETECTED,orange,686,64,16,12,132
1763873649.428,kreo1,DETECTED,orange,208,36,14,12,118
1763873649.445,kreo2,DETECTED,orange,766,480,30,28,642
1763873649.466,kreo1,DETECTED,orange,522,410,30,34,756
1763873649.481,kreo2,DETECTED,orange,766,478,30,30,640
1763873649.497,kreo1,DETECTED,orange,522,410,30,34,760
1763873649.497,kreo1,DETECTED,orange,686,62,16,14,154
1763873649.497,kreo1,DETECTED,orange,206,36,14,12,116
1763873649.514,kreo2,DETECTED,orange,766,478,30,30,650
1763873649.528,kreo1,DETECTED,orange,522,410,30,34,770
1763873649.528,kreo1,DETECTED,orange,204,34,14,12,112
1763873649.546,kreo2,DETECTED,orange,766,478,30,30,654
1763873649.565,kreo1,DETECTED,orange,522,410,30,34,756
1763873649.582,kreo2,DETECTED,orange,766,478,30,30,634
1763873649.597,kreo1,DETECTED,orange,522,410,30,34,750
1763873649.615,kreo2,DETECTED,orange,766,478,30,30,644
1763873649.629,kreo1,DETECTED,orange,522,410,30,34,752
1763873649.629,kreo1,DETECTED,orange,202,30,18,20,196
1763873649.645,kreo2,DETECTED,orange,766,478,30,30,652
1763873649.665,kreo1,DETECTED,orange,522,410,30,36,772
1763873649.681,kreo2,DETECTED,orange,766,478,30,30,638
1763873649.696,kreo1,DETECTED,orange,522,410,30,34,772
1763873649.696,kreo1,DETECTED,orange,208,36,14,14,142
1763873649.714,kreo2,DETECTED,orange,766,478,30,30,646
1763873649.729,kreo1,DETECTED,orange,522,410,30,36,776
1763873649.729,kreo1,DETECTED,orange,202,34,20,14,186
1763873649.745,kreo2,DETECTED,orange,766,480,30,28,630
1763873649.765,kreo1,DETECTED,orange,522,410,30,34,760
1763873649.782,kreo2,DETECTED,orange,766,478,30,30,638
1763873649.798,kreo1,DETECTED,orange,522,410,30,34,752
1763873649.814,kreo2,DETECTED,orange,766,478,30,30,648
1763873649.829,kreo1,DETECTED,orange,522,410,30,36,784
1763873649.829,kreo1,DETECTED,orange,202,36,20,14,182
1763873649.829,kreo1,DETECTED,orange,688,62,12,14,116
1763873649.846,kreo2,DETECTED,orange,766,478,30,30,638
1763873649.863,kreo1,DETECTED,orange,522,410,30,34,762
1763873649.881,kreo2,DETECTED,orange,766,480,30,28,632
1763873649.898,kreo1,DETECTED,orange,522,410,30,34,758
1763873649.898,kreo1,DETECTED,orange,208,36,14,12,116
1763873649.913,kreo2,DETECTED,orange,766,478,30,28,632
1763873649.928,kreo1,DETECTED,orange,522,410,30,34,768
1763873649.928,kreo1,DETECTED,orange,208,36,14,12,120
1763873649.947,kreo2,DETECTED,orange,766,478,28,30,612
1763873649.964,kreo1,DETECTED,orange,522,410,30,36,784
1763873649.981,kreo2,DETECTED,orange,766,480,30,28,636
1763873649.999,kreo1,DETECTED,orange,522,410,30,34,762
1763873650.013,kreo2,DETECTED,orange,766,478,30,30,644
1763873650.028,kreo1,DETECTED,orange,522,410,30,36,794
1763873650.028,kreo1,DETECTED,orange,202,32,20,16,188
1763873650.028,kreo1,DETECTED,orange,690,64,12,12,100
1763873650.046,kreo2,DETECTED,orange,766,478,30,30,642
