timestamp,camera,status,color,x,y,w,h,area
1763873902.704,kreo1,DETECTED,orange,622,450,30,30,658
1763873902.708,kreo2,DETECTED,orange,674,442,26,30,612
1763873902.736,kreo1,DETECTED,orange,624,450,28,30,658
1763873902.740,kreo2,DETECTED,orange,674,442,26,30,622
1763873902.772,kreo1,DETECTED,orange,622,450,30,30,642
1763873902.772,kreo1,DETECTED,orange,690,62,12,14,108
1763873902.776,kreo2,DETECTED,orange,674,442,26,30,618
1763873902.804,kreo1,DETECTED,orange,624,450,28,30,662
1763873902.842,kreo2,DETECTED,orange,674,442,26,30,622
1763873902.874,kreo1,DETECTED,orange,624,450,28,30,648
1763873902.877,kreo2,DETECTED,orange,672,442,28,30,654
1763873902.903,kreo1,DETECTED,orange,624,450,28,30,654
1763873902.909,kreo2,DETECTED,orange,674,442,26,30,616
1763873902.936,kreo1,DETECTED,orange,624,450,28,30,660
1763873902.941,kreo2,DETECTED,orange,674,442,26,30,614
1763873902.971,kreo1,DETECTED,orange,624,450,28,30,636
1763873902.977,kreo2,DETECTED,orange,674,442,26,30,626
1763873903.004,kreo1,DETECTED,orange,624,450,28,30,646
1763873903.008,kreo2,DETECTED,orange,674,442,26,30,614
1763873903.037,kreo1,DETECTED,orange,624,450,28,30,658
1763873903.040,kreo2,DETECTED,orange,674,442,26,30,612
1763873903.071,kreo1,DETECTED,orange,622,450,30,30,658
1763873903.076,kreo2,DETECTED,orange,674,442,26,30,630
1763873903.104,kreo1,DETECTED,orange,624,450,28,30,652
1763873903.108,kreo2,DETECTED,orange,674,442,26,30,620
1763873903.135,kreo1,DETECTED,orange,622,450,30,30,686
1763873903.135,kreo1,DETECTED,orange,690,64,12,12,100
1763873903.140,kreo2,DETECTED,orange,674,442,26,30,626
1763873903.171,kreo1,DETECTED,orange,624,450,28,30,646
1763873903.176,kreo2,DETECTED,orange,674,442,26,30,622
1763873903.204,kreo1,DETECTED,orange,622,450,30,30,676
1763873903.209,kreo2,DETECTED,orange,672,442,28,30,628
1763873903.236,kreo1,DETECTED,orange,624,450,28,30,662
1763873903.236,kreo1,DETECTED,orange,690,64,14,12,118
1763873903.242,kreo2,DETECTED,orange,674,442,26,30,622
1763873903.271,kreo1,DETECTED,orange,622,450,30,30,654
1763873903.271,kreo1,DETECTED,orange,690,64,14,12,116
1763873903.276,kreo2,DETECTED,orange,672,442,28,30,654
1763873903.304,kreo1,DETECTED,orange,624,450,28,30,650
1763873903.308,kreo2,DETECTED,orange,674,442,26,30,620
1763873903.336,kreo1,DETECTED,orange,622,450,30,30,682
1763873903.340,kreo2,DETECTED,orange,672,442,28,30,634
1763873903.371,kreo1,DETECTED,orange,622,450,30,30,642
1763873903.371,kreo1,DETECTED,orange,690,64,14,12,118
1763873903.376,kreo2,DETECTED,orange,674,442,26,30,634
1763873903.403,kreo1,DETECTED,orange,624,450,28,30,648
1763873903.408,kreo2,DETECTED,orange,674,442,26,30,610
1763873903.435,kreo1,DETECTED,orange,624,450,28,30,644
1763873903.435,kreo1,DETECTED,orange,690,64,12,12,100
1763873903.441,kreo2,DETECTED,orange,672,442,28,30,624
1763873903.471,kreo1,DETECTED,orange,624,450,28,30,650
1763873903.476,kreo2,DETECTED,orange,672,442,28,30,650
1763873903.503,kreo1,DETECTED,orange,624,450,28,30,654
1763873903.508,kreo2,DETECTED,orange,674,442,26,30,614
1763873903.535,kreo1,DETECTED,orange,624,450,28,30,668
1763873903.540,kreo2,DETECTED,orange,674,442,26,30,606
1763873903.572,kreo1,DETECTED,orange,622,450,30,30,676
1763873903.576,kreo2,DETECTED,orange,672,442,28,30,650
1763873903.603,kreo1,DETECTED,orange,624,450,28,30,662
1763873903.608,kreo2,DETECTED,orange,672,442,28,30,636
1763873903.637,kreo1,DETECTED,orange,624,450,28,30,654
1763873903.641,kreo2,DETECTED,orange,674,442,26,30,616
1763873903.671,kreo1,DETECTED,orange,622,450,30,30,666
1763873903.676,kreo2,DETECTED,orange,674,442,26,30,622
1763873903.703,kreo1,DETECTED,orange,624,450,28,30,648
1763873903.708,kreo2,DETECTED,orange,674,442,26,30,610
1763873903.735,kreo1,DETECTED,orange,624,450,28,30,658
1763873903.740,kreo2,DETECTED,orange,674,442,26,30,612
1763873903.771,kreo1,DETECTED,orange,622,450,30,30,648
1763873903.776,kreo2,DETECTED,orange,674,442,26,30,630
1763873903.803,kreo1,DETECTED,orange,624,450,28,30,662
1763873903.808,kreo2,DETECTED,orange,674,442,26,30,612
1763873903.835,kreo1,DETECTED,orange,624,450,28,30,658
1763873903.841,kreo2,DETECTED,orange,674,442,26,30,614
1763873903.871,kreo1,DETECTED,orange,624,450,28,30,626
1763873903.877,kreo2,DETECTED,orange,674,442,26,30,624
1763873903.903,kreo1,DETECTED,orange,622,450,30,30,662
1763873903.908,kreo2,DETECTED,orange,672,442,28,30,636
1763873903.935,kreo1,DETECTED,orange,624,450,28,30,666
1763873903.940,kreo2,DETECTED,orange,674,442,26,30,618
1763873903.971,kreo1,DETECTED,orange,624,450,28,30,662
1763873903.978,kreo2,DETECTED,orange,674,442,26,30,626
1763873904.004,kreo1,DETECTED,orange,624,450,28,30,660
1763873904.008,kreo2,DETECTED,orange,674,442,26,30,622
1763873904.036,kreo1,DETECTED,orange,624,450,28,30,666
1763873904.040,kreo2,DETECTED,orange,674,442,26,30,614
1763873904.071,kreo1,DETECTED,orange,622,450,30,30,678
1763873904.076,kreo2,DETECTED,orange,672,442,28,30,650
1763873904.103,kreo1,DETECTED,orange,622,450,30,30,678
1763873904.109,kreo2,DETECTED,orange,674,442,26,30,610
1763873904.136,kreo1,DETECTED,orange,624,450,28,30,658
1763873904.140,kreo2,DETECTED,orange,674,442,26,30,606
1763873904.171,kreo1,DETECTED,orange,624,450,28,30,630
1763873904.176,kreo2,DETECTED,orange,674,442,26,30,624
1763873904.203,kreo1,DETECTED,orange,624,450,28,30,650
1763873904.208,kreo2,DETECTED,orange,674,442,26,30,616
1763873904.236,kreo1,DETECTED,orange,622,450,30,30,686
1763873904.240,kreo2,DETECTED,orange,674,442,26,30,604
1763873904.271,kreo1,DETECTED,orange,624,450,28,30,662
1763873904.276,kreo2,DETECTED,orange,674,442,26,30,630
1763873904.303,kreo1,DETECTED,orange,624,450,28,30,642
1763873904.308,kreo2,DETECTED,orange,674,442,26,30,624
1763873904.336,kreo1,DETECTED,orange,624,450,28,30,652
1763873904.341,kreo2,DETECTED,orange,674,442,26,30,614
1763873904.371,kreo1,DETECTED,orange,624,450,28,30,658
1763873904.377,kreo2,DETECTED,orange,672,442,28,30,642
1763873904.403,kreo1,DETECTED,orange,624,450,28,30,658
1763873904.409,kreo2,DETECTED,orange,674,442,26,30,618
1763873904.435,kreo1,DETECTED,orange,624,450,28,30,656
1763873904.441,kreo2,DETECTED,orange,674,442,26,30,622
1763873904.472,kreo1,DETECTED,orange,622,450,30,30,668
1763873904.476,kreo2,DETECTED,orange,674,442,26,30,630
1763873904.503,kreo1,DETECTED,orange,624,450,28,30,650
1763873904.509,kreo2,DETECTED,orange,674,442,26,30,614
1763873904.536,kreo1,DETECTED,orange,622,450,30,30,682
1763873904.540,kreo2,DETECTED,orange,674,442,26,30,612
1763873904.571,kreo1,DETECTED,orange,624,450,28,30,646
1763873904.576,kreo2,DETECTED,orange,672,442,28,30,650
1763873904.603,kreo1,DETECTED,orange,624,450,28,30,654
1763873904.609,kreo2,DETECTED,orange,674,442,26,30,616
1763873904.635,kreo1,DETECTED,orange,624,450,28,30,660
1763873904.641,kreo2,DETECTED,orange,674,442,26,30,608
1763873904.671,kreo1,DETECTED,orange,622,450,30,30,676
1763873904.677,kreo2,DETECTED,orange,672,442,28,30,658
1763873904.703,kreo1,DETECTED,orange,624,450,28,30,658
1763873904.708,kreo2,DETECTED,orange,674,442,26,30,612
1763873904.736,kreo1,DETECTED,orange,624,450,28,30,652
1763873904.742,kreo2,DETECTED,orange,672,442,28,30,630
1763873904.771,kreo1,DETECTED,orange,624,450,28,30,654
1763873904.777,kreo2,DETECTED,orange,672,442,28,30,654
1763873904.777,kreo2,DETECTED,orange,1146,286,14,16,152
1763873904.804,kreo1,DETECTED,orange,624,450,28,30,658
1763873904.809,kreo2,DETECTED,orange,674,442,26,30,620
1763873904.836,kreo1,DETECTED,orange,624,450,28,30,670
1763873904.840,kreo2,DETECTED,orange,674,442,26,30,600
1763873904.872,kreo1,DETECTED,orange,624,450,28,30,658
1763873904.872,kreo1,DETECTED,orange,690,64,12,12,100
1763873904.876,kreo2,DETECTED,orange,674,442,26,30,626
