timestamp,camera,status,color,x,y,w,h,area
1763876462.674,kreo1,DETECTED,orange,604,300,26,26,506
1763876462.680,kreo2,DETECTED,orange,678,608,30,36,804
1763876462.707,kreo1,DETECTED,orange,604,302,26,24,470
1763876462.711,kreo2,DETECTED,orange,676,608,32,34,770
1763876462.744,kreo1,DETECTED,orange,604,302,26,24,446
1763876462.748,kreo2,DETECTED,orange,678,610,30,32,732
1763876462.775,kreo1,DETECTED,orange,604,300,26,26,512
1763876462.780,kreo2,DETECTED,orange,678,608,30,34,774
1763876462.807,kreo1,DETECTED,orange,604,300,26,26,488
1763876462.813,kreo2,DETECTED,orange,678,610,30,34,764
1763876462.823,kreo1,DETECTED,orange,604,300,26,26,502
1763876462.828,kreo2,DETECTED,orange,676,608,32,34,810
1763876462.843,kreo1,DETECTED,orange,604,302,26,24,470
1763876462.848,kreo2,DETECTED,orange,678,608,30,34,760
1763876462.875,kreo1,DETECTED,orange,604,300,26,26,522
1763876462.880,kreo2,DETECTED,orange,676,608,32,36,830
1763876462.911,kreo1,DETECTED,orange,604,302,26,24,482
1763876462.913,kreo2,DETECTED,orange,678,608,30,36,758
1763876462.930,kreo2,DETECTED,orange,676,608,32,36,830
1763876462.943,kreo1,DETECTED,orange,604,300,26,26,466
1763876462.949,kreo2,DETECTED,orange,676,608,32,36,810
1763876462.975,kreo1,DETECTED,orange,604,300,26,28,530
1763876462.980,kreo2,DETECTED,orange,676,608,32,36,834
1763876463.008,kreo1,DETECTED,orange,604,300,26,26,506
1763876463.013,kreo2,DETECTED,orange,676,608,32,36,800
1763876463.024,kreo1,DETECTED,orange,604,300,26,26,504
1763876463.030,kreo2,DETECTED,orange,676,608,32,36,836
1763876463.043,kreo1,DETECTED,orange,604,302,26,24,452
1763876463.049,kreo2,DETECTED,orange,678,608,30,34,772
1763876463.075,kreo1,DETECTED,orange,604,300,26,26,518
1763876463.080,kreo2,DETECTED,orange,676,608,32,34,812
1763876463.107,kreo1,DETECTED,orange,604,300,26,26,502
1763876463.113,kreo2,DETECTED,orange,678,608,30,36,790
1763876463.124,kreo1,DETECTED,orange,604,300,26,26,492
1763876463.128,kreo2,DETECTED,orange,678,608,30,36,786
1763876463.143,kreo1,DETECTED,orange,604,302,26,24,450
1763876463.149,kreo2,DETECTED,orange,678,608,30,34,786
1763876463.175,kreo1,DETECTED,orange,604,300,26,26,498
1763876463.182,kreo2,DETECTED,orange,676,608,32,36,842
1763876463.206,kreo1,DETECTED,orange,604,300,26,26,476
1763876463.212,kreo2,DETECTED,orange,676,610,32,32,718
1763876463.224,kreo1,DETECTED,orange,604,300,26,28,540
1763876463.228,kreo2,DETECTED,orange,676,608,32,34,808
1763876463.248,kreo2,DETECTED,orange,676,608,32,34,794
1763876463.259,kreo1,DETECTED,orange,604,300,26,26,504
1763876463.280,kreo2,DETECTED,orange,676,608,32,36,826
1763876463.292,kreo1,DETECTED,orange,604,304,26,22,394
1763876463.312,kreo2,DETECTED,orange,676,608,32,34,778
1763876463.323,kreo1,DETECTED,orange,604,300,26,28,516
1763876463.328,kreo2,DETECTED,orange,676,608,32,36,822
1763876463.344,kreo1,DETECTED,orange,604,302,26,24,466
1763876463.348,kreo2,DETECTED,orange,676,608,32,34,804
1763876463.375,kreo1,DETECTED,orange,604,300,26,28,540
1763876463.375,kreo1,DETECTED,orange,690,64,14,12,118
1763876463.380,kreo2,DETECTED,orange,676,608,32,34,806
1763876463.407,kreo1,DETECTED,orange,604,300,26,26,480
1763876463.412,kreo2,DETECTED,orange,676,610,32,32,756
1763876463.423,kreo1,DETECTED,orange,604,300,26,28,522
1763876463.428,kreo2,DETECTED,orange,676,608,32,34,786
1763876463.443,kreo1,DETECTED,orange,604,304,26,22,414
1763876463.448,kreo2,DETECTED,orange,678,610,30,34,750
1763876463.475,kreo1,DETECTED,orange,604,300,26,26,496
1763876463.480,kreo2,DETECTED,orange,676,608,32,36,826
1763876463.506,kreo1,DETECTED,orange,604,302,26,24,474
1763876463.512,kreo2,DETECTED,orange,676,608,32,36,814
1763876463.524,kreo1,DETECTED,orange,604,300,26,26,520
1763876463.529,kreo2,DETECTED,orange,676,608,32,36,822
1763876463.545,kreo1,DETECTED,orange,604,306,26,20,396
1763876463.548,kreo2,DETECTED,orange,676,608,32,34,792
1763876463.575,kreo1,DETECTED,orange,604,300,26,26,516
1763876463.580,kreo2,DETECTED,orange,678,608,30,36,786
1763876463.608,kreo1,DETECTED,orange,604,300,26,26,494
1763876463.612,kreo2,DETECTED,orange,678,610,30,32,720
1763876463.622,kreo1,DETECTED,orange,604,300,26,26,494
1763876463.630,kreo2,DETECTED,orange,676,608,32,36,818
1763876463.643,kreo1,DETECTED,orange,604,304,26,22,442
1763876463.648,kreo2,DETECTED,orange,676,610,32,32,774
1763876463.676,kreo1,DETECTED,orange,604,300,26,26,520
1763876463.681,kreo2,DETECTED,orange,676,608,32,36,820
1763876463.706,kreo1,DETECTED,orange,604,300,26,26,520
1763876463.712,kreo2,DETECTED,orange,678,608,30,34,768
1763876463.724,kreo1,DETECTED,orange,604,300,26,26,524
1763876463.729,kreo2,DETECTED,orange,676,608,32,36,832
1763876463.744,kreo1,DETECTED,orange,604,304,26,24,448
1763876463.749,kreo2,DETECTED,orange,676,608,32,36,800
1763876463.775,kreo1,DETECTED,orange,604,300,26,26,524
1763876463.775,kreo1,DETECTED,orange,690,64,14,12,118
1763876463.780,kreo2,DETECTED,orange,676,608,32,36,838
1763876463.807,kreo1,DETECTED,orange,604,300,26,26,494
1763876463.812,kreo2,DETECTED,orange,676,610,32,32,722
1763876463.823,kreo1,DETECTED,orange,604,300,26,26,512
1763876463.830,kreo2,DETECTED,orange,676,608,32,36,828
1763876463.843,kreo1,DETECTED,orange,604,304,26,22,424
1763876463.848,kreo2,DETECTED,orange,676,608,32,34,786
1763876463.876,kreo1,DETECTED,orange,604,300,26,26,486
1763876463.880,kreo2,DETECTED,orange,678,608,30,36,790
1763876463.907,kreo1,DETECTED,orange,604,300,26,26,532
1763876463.911,kreo2,DETECTED,orange,676,610,32,32,758
1763876463.923,kreo1,DETECTED,orange,604,300,26,26,478
1763876463.929,kreo2,DETECTED,orange,676,608,32,34,794
1763876463.944,kreo1,DETECTED,orange,604,302,26,24,464
1763876463.948,kreo2,DETECTED,orange,676,610,32,34,772
1763876463.975,kreo1,DETECTED,orange,604,300,26,26,504
1763876463.980,kreo2,DETECTED,orange,678,608,30,36,786
1763876464.007,kreo1,DETECTED,orange,604,300,26,26,520
1763876464.013,kreo2,DETECTED,orange,678,608,30,36,802
1763876464.023,kreo1,DETECTED,orange,604,300,26,26,512
1763876464.028,kreo2,DETECTED,orange,676,608,32,36,784
1763876464.044,kreo1,DETECTED,orange,604,300,26,26,512
1763876464.048,kreo2,DETECTED,orange,678,608,30,36,768
1763876464.075,kreo1,DETECTED,orange,604,300,26,28,548
1763876464.081,kreo2,DETECTED,orange,676,608,32,36,800
1763876464.107,kreo1,DETECTED,orange,604,300,26,26,518
1763876464.112,kreo2,DETECTED,orange,678,608,30,34,760
1763876464.123,kreo1,DETECTED,orange,604,300,26,26,522
1763876464.129,kreo2,DETECTED,orange,676,608,32,36,814
1763876464.144,kreo1,DETECTED,orange,604,300,26,26,510
1763876464.150,kreo2,DETECTED,orange,676,608,32,36,788
1763876464.175,kreo1,DETECTED,orange,604,300,26,26,524
1763876464.180,kreo2,DETECTED,orange,676,608,32,36,828
1763876464.207,kreo1,DETECTED,orange,604,300,26,26,510
1763876464.212,kreo2,DETECTED,orange,678,608,30,34,766
1763876464.223,kreo1,DETECTED,orange,604,300,26,26,530
1763876464.228,kreo2,DETECTED,orange,678,608,30,36,798
1763876464.243,kreo1,DETECTED,orange,604,300,26,26,502
1763876464.248,kreo2,DETECTED,orange,676,608,32,36,780
1763876464.275,kreo1,DETECTED,orange,604,300,26,26,536
1763876464.281,kreo2,DETECTED,orange,676,608,32,36,830
1763876464.307,kreo1,DETECTED,orange,604,300,26,26,534
1763876464.312,kreo2,DETECTED,orange,676,608,32,34,784
1763876464.324,kreo1,DETECTED,orange,604,300,26,26,514
1763876464.328,kreo2,DETECTED,orange,678,608,30,36,762
1763876464.344,kreo1,DETECTED,orange,604,300,26,26,504
1763876464.348,kreo2,DETECTED,orange,676,608,32,34,772
1763876464.375,kreo1,DETECTED,orange,604,300,26,26,498
1763876464.380,kreo2,DETECTED,orange,676,608,32,36,826
1763876464.407,kreo1,DETECTED,orange,604,298,26,30,564
1763876464.412,kreo2,DETECTED,orange,676,608,32,36,804
1763876464.423,kreo1,DETECTED,orange,604,300,26,26,510
1763876464.429,kreo2,DETECTED,orange,676,608,32,36,794
1763876464.443,kreo1,DETECTED,orange,604,302,26,24,472
1763876464.448,kreo2,DETECTED,orange,676,608,32,36,808
1763876464.476,kreo1,DETECTED,orange,604,298,26,28,558
1763876464.480,kreo2,DETECTED,orange,676,608,32,36,808
1763876464.508,kreo1,DETECTED,orange,604,300,26,26,516
1763876464.508,kreo1,DETECTED,orange,690,64,12,12,100
1763876464.513,kreo2,DETECTED,orange,676,608,32,34,794
1763876464.527,kreo1,DETECTED,orange,604,300,26,26,516
1763876464.531,kreo2,DETECTED,orange,676,608,32,36,842
1763876464.559,kreo1,DETECTED,orange,604,298,26,30,558
1763876464.565,kreo2,DETECTED,orange,676,608,32,36,818
