timestamp,camera,status,color,x,y,w,h,area
1763877609.056,kreo1,DETECTED,orange,756,578,32,34,806
1763877609.069,kreo2,DETECTED,orange,574,354,22,24,388
1763877609.072,kreo1,DETECTED,orange,756,576,32,36,854
1763877609.085,kreo2,DETECTED,orange,574,354,24,26,452
1763877609.092,kreo1,DETECTED,orange,756,580,32,32,774
1763877609.105,kreo2,DETECTED,orange,572,354,26,24,418
1763877609.124,kreo1,DETECTED,orange,756,578,32,34,826
1763877609.137,kreo2,DETECTED,orange,576,354,20,24,374
1763877609.156,kreo1,DETECTED,orange,756,578,32,34,800
1763877609.169,kreo2,DETECTED,orange,574,354,24,24,440
1763877609.172,kreo1,DETECTED,orange,756,576,32,36,854
1763877609.185,kreo2,DETECTED,orange,572,354,24,24,420
1763877609.192,kreo1,DETECTED,orange,756,578,32,32,768
1763877609.205,kreo2,DETECTED,orange,572,354,26,24,428
1763877609.223,kreo1,DETECTED,orange,756,576,32,36,862
1763877609.237,kreo2,DETECTED,orange,574,354,24,24,420
1763877609.256,kreo1,DETECTED,orange,756,578,32,34,812
1763877609.269,kreo2,DETECTED,orange,576,354,22,24,396
1763877609.272,kreo1,DETECTED,orange,756,578,32,34,848
1763877609.285,kreo2,DETECTED,orange,574,354,24,24,440
1763877609.292,kreo1,DETECTED,orange,756,578,32,34,776
1763877609.305,kreo2,DETECTED,orange,576,354,20,24,364
1763877609.323,kreo1,DETECTED,orange,756,576,32,36,864
1763877609.337,kreo2,DETECTED,orange,574,354,22,24,404
1763877609.356,kreo1,DETECTED,orange,756,578,32,34,808
1763877609.369,kreo2,DETECTED,orange,572,354,24,24,414
1763877609.372,kreo1,DETECTED,orange,756,578,32,34,834
1763877609.385,kreo2,DETECTED,orange,576,354,22,24,398
1763877609.392,kreo1,DETECTED,orange,756,578,32,34,780
1763877609.405,kreo2,DETECTED,orange,578,354,20,24,370
1763877609.423,kreo1,DETECTED,orange,756,578,32,34,834
1763877609.437,kreo2,DETECTED,orange,572,354,26,24,458
1763877609.455,kreo1,DETECTED,orange,756,578,32,34,802
1763877609.469,kreo2,DETECTED,orange,572,354,24,24,404
1763877609.472,kreo1,DETECTED,orange,756,576,32,34,834
1763877609.485,kreo2,DETECTED,orange,574,354,24,24,426
1763877609.492,kreo1,DETECTED,orange,756,578,32,34,808
1763877609.505,kreo2,DETECTED,orange,572,354,26,24,426
1763877609.524,kreo1,DETECTED,orange,756,576,32,36,854
1763877609.537,kreo2,DETECTED,orange,572,354,24,24,416
1763877609.555,kreo1,DETECTED,orange,756,578,32,34,798
1763877609.569,kreo2,DETECTED,orange,576,354,20,24,384
1763877609.572,kreo1,DETECTED,orange,756,578,32,34,832
1763877609.585,kreo2,DETECTED,orange,574,354,24,24,418
1763877609.592,kreo1,DETECTED,orange,756,578,32,34,810
1763877609.605,kreo2,DETECTED,orange,574,354,24,22,380
1763877609.623,kreo1,DETECTED,orange,756,576,32,36,848
1763877609.637,kreo2,DETECTED,orange,574,354,24,24,420
1763877609.656,kreo1,DETECTED,orange,756,578,32,34,808
1763877609.669,kreo2,DETECTED,orange,572,354,26,24,436
1763877609.672,kreo1,DETECTED,orange,756,576,32,36,876
1763877609.685,kreo2,DETECTED,orange,574,354,24,24,416
1763877609.692,kreo1,DETECTED,orange,756,578,32,34,818
1763877609.705,kreo2,DETECTED,orange,572,354,26,24,428
1763877609.725,kreo1,DETECTED,orange,756,576,32,36,852
1763877609.738,kreo2,DETECTED,orange,574,354,24,24,414
1763877609.757,kreo1,DETECTED,orange,756,578,32,34,812
1763877609.770,kreo2,DETECTED,orange,576,354,22,24,402
1763877609.772,kreo1,DETECTED,orange,756,576,32,36,858
1763877609.787,kreo2,DETECTED,orange,572,354,24,24,400
1763877609.793,kreo1,DETECTED,orange,756,578,32,34,798
1763877609.806,kreo2,DETECTED,orange,572,354,24,24,418
1763877609.824,kreo1,DETECTED,orange,756,578,32,34,822
1763877609.837,kreo2,DETECTED,orange,574,354,24,24,414
1763877609.856,kreo1,DETECTED,orange,756,578,32,34,812
1763877609.869,kreo2,DETECTED,orange,572,354,26,24,434
1763877609.872,kreo1,DETECTED,orange,756,576,32,36,866
1763877609.885,kreo2,DETECTED,orange,574,354,22,24,398
1763877609.892,kreo1,DETECTED,orange,756,580,32,32,762
1763877609.905,kreo2,DETECTED,orange,576,354,20,24,362
1763877609.924,kreo1,DETECTED,orange,756,578,32,34,822
1763877609.937,kreo2,DETECTED,orange,572,354,24,24,428
1763877609.956,kreo1,DETECTED,orange,756,578,32,34,804
1763877609.969,kreo2,DETECTED,orange,572,354,26,24,440
1763877609.972,kreo1,DETECTED,orange,756,578,32,34,840
1763877609.985,kreo2,DETECTED,orange,572,354,26,26,458
1763877609.992,kreo1,DETECTED,orange,756,578,32,34,786
1763877610.005,kreo2,DETECTED,orange,574,354,24,24,426
1763877610.024,kreo1,DETECTED,orange,756,576,32,36,854
1763877610.037,kreo2,DETECTED,orange,576,354,22,24,398
1763877610.056,kreo1,DETECTED,orange,756,578,32,34,820
1763877610.069,kreo2,DETECTED,orange,572,354,26,24,466
1763877610.072,kreo1,DETECTED,orange,756,576,32,36,842
1763877610.085,kreo2,DETECTED,orange,572,354,26,24,440
1763877610.092,kreo1,DETECTED,orange,756,578,32,34,814
1763877610.101,kreo2,DETECTED,orange,574,354,24,24,420
1763877610.122,kreo2,DETECTED,orange,574,352,24,26,442
1763877610.124,kreo1,DETECTED,orange,756,578,32,34,830
1763877610.153,kreo2,DETECTED,orange,574,354,22,24,376
1763877610.156,kreo1,DETECTED,orange,756,578,32,34,830
1763877610.172,kreo1,DETECTED,orange,756,578,32,34,828
1763877610.185,kreo2,DETECTED,orange,576,354,22,24,390
1763877610.192,kreo1,DETECTED,orange,756,578,32,34,792
1763877610.205,kreo2,DETECTED,orange,578,354,20,24,370
1763877610.224,kreo1,DETECTED,orange,756,578,32,34,830
1763877610.237,kreo2,DETECTED,orange,572,354,26,24,448
1763877610.256,kreo1,DETECTED,orange,756,578,32,34,822
1763877610.269,kreo2,DETECTED,orange,572,354,24,24,420
1763877610.273,kreo1,DETECTED,orange,756,578,32,34,848
1763877610.286,kreo2,DETECTED,orange,574,354,24,24,422
1763877610.292,kreo1,DETECTED,orange,756,578,32,34,814
1763877610.305,kreo2,DETECTED,orange,574,354,24,24,406
1763877610.324,kreo1,DETECTED,orange,756,576,32,36,862
