timestamp,camera,status,color,x,y,w,h,area
1765188514.448,kreo2,DETECTED,orange,594,228,20,20,296
1765188514.469,kreo1,DETECTED,orange,640,640,32,32,714
1765188514.648,kreo2,DETECTED,orange,594,228,20,22,320
1765188514.636,kreo1,DETECTED,orange,640,640,32,32,780
1765188514.687,kreo1,DETECTED,orange,640,640,32,32,776
1765188514.697,kreo2,DETECTED,orange,596,228,18,22,300
1765188514.706,kreo1,DETECTED,orange,640,640,32,32,778
1765188514.719,kreo2,DETECTED,orange,594,228,20,22,322
1765188514.738,kreo1,DETECTED,orange,640,640,32,32,778
1765188514.750,kreo2,DETECTED,orange,594,228,18,22,296
1765188514.770,kreo1,DETECTED,orange,640,640,32,32,712
1765188514.783,kreo2,DETECTED,orange,596,228,18,22,294
1765188514.786,kreo1,DETECTED,orange,640,640,32,32,754
1765188514.806,kreo1,DETECTED,orange,640,640,32,34,798
1765188514.818,kreo2,DETECTED,orange,594,228,20,22,322
1765188514.837,kreo1,DETECTED,orange,640,640,32,32,766
1765188514.851,kreo2,DETECTED,orange,596,228,18,22,290
1765188514.870,kreo1,DETECTED,orange,640,640,32,32,694
1765188514.881,kreo2,DETECTED,orange,594,228,20,22,314
1765188514.885,kreo1,DETECTED,orange,640,640,32,32,760
1765188514.898,kreo2,DETECTED,orange,596,228,18,20,262
1765188514.905,kreo1,DETECTED,orange,640,640,32,32,768
1765188514.919,kreo2,DETECTED,orange,594,228,20,22,322
1765188514.937,kreo1,DETECTED,orange,640,640,32,32,760
1765188514.949,kreo2,DETECTED,orange,594,228,20,22,320
1765188514.969,kreo1,DETECTED,orange,640,640,32,32,752
1765188514.981,kreo2,DETECTED,orange,594,228,20,22,314
1765188514.985,kreo1,DETECTED,orange,640,640,32,32,736
1765188514.997,kreo2,DETECTED,orange,594,228,20,22,320
1765188515.005,kreo1,DETECTED,orange,640,640,32,32,768
1765188515.017,kreo2,DETECTED,orange,594,228,20,22,318
1765188515.038,kreo1,DETECTED,orange,640,640,32,32,738
1765188515.049,kreo2,DETECTED,orange,596,228,18,22,298
1765188515.069,kreo1,DETECTED,orange,640,640,32,32,730
1765188515.081,kreo2,DETECTED,orange,594,228,20,22,314
1765188515.085,kreo1,DETECTED,orange,640,640,32,32,730
1765188515.098,kreo2,DETECTED,orange,594,228,20,22,318
1765188515.106,kreo1,DETECTED,orange,640,640,32,32,774
1765188515.117,kreo2,DETECTED,orange,594,228,20,22,326
1765188515.137,kreo1,DETECTED,orange,640,640,32,32,752
1765188515.149,kreo2,DETECTED,orange,594,228,20,22,318
1765188515.169,kreo1,DETECTED,orange,640,640,32,34,740
1765188515.181,kreo2,DETECTED,orange,594,228,20,22,322
1765188515.186,kreo1,DETECTED,orange,640,640,32,32,726
1765188515.197,kreo2,DETECTED,orange,596,228,18,22,294
1765188515.207,kreo1,DETECTED,orange,640,640,32,34,808
1765188515.217,kreo2,DETECTED,orange,594,228,20,22,326
1765188515.238,kreo1,DETECTED,orange,640,640,32,32,720
1765188515.249,kreo2,DETECTED,orange,596,228,18,22,284
1765188515.269,kreo1,DETECTED,orange,640,640,32,32,760
1765188515.283,kreo2,DETECTED,orange,594,228,20,22,314
1765188515.287,kreo1,DETECTED,orange,640,640,32,32,708
1765188515.298,kreo2,DETECTED,orange,594,228,20,22,326
1765188515.308,kreo1,DETECTED,orange,640,640,32,32,780
1765188515.317,kreo2,DETECTED,orange,594,228,20,22,318
1765188515.338,kreo1,DETECTED,orange,640,640,32,32,746
