timestamp,camera,status,color,x,y,w,h,area
1763877366.236,kreo1,DETECTED,orange,784,428,28,32,618
1763877366.249,kreo2,DETECTED,orange,510,458,26,24,448
1763877366.268,kreo1,DETECTED,orange,784,428,28,32,624
1763877366.282,kreo2,DETECTED,orange,510,460,26,24,418
1763877366.286,kreo1,DETECTED,orange,786,428,26,32,600
1763877366.297,kreo2,DETECTED,orange,510,460,26,22,394
1763877366.318,kreo2,DETECTED,orange,512,458,24,24,428
1763877366.320,kreo1,DETECTED,orange,786,428,26,32,614
1763877366.350,kreo2,DETECTED,orange,510,460,26,22,400
1763877366.353,kreo1,DETECTED,orange,786,428,26,32,596
1763877366.382,kreo2,DETECTED,orange,510,460,26,22,398
1763877366.384,kreo1,DETECTED,orange,784,428,28,32,620
1763877366.398,kreo2,DETECTED,orange,512,458,24,22,402
1763877366.404,kreo1,DETECTED,orange,786,428,26,32,598
1763877366.418,kreo2,DETECTED,orange,512,458,24,24,426
1763877366.436,kreo1,DETECTED,orange,784,428,28,32,618
1763877366.450,kreo2,DETECTED,orange,512,458,24,24,418
1763877366.468,kreo1,DETECTED,orange,784,428,28,32,628
1763877366.482,kreo2,DETECTED,orange,510,458,26,22,418
1763877366.485,kreo1,DETECTED,orange,786,428,24,32,582
1763877366.497,kreo2,DETECTED,orange,510,458,26,22,418
1763877366.506,kreo1,DETECTED,orange,786,428,26,32,592
1763877366.518,kreo2,DETECTED,orange,512,458,24,24,430
1763877366.537,kreo1,DETECTED,orange,784,428,28,32,618
1763877366.549,kreo2,DETECTED,orange,510,458,26,24,438
1763877366.568,kreo1,DETECTED,orange,786,428,26,32,606
1763877366.581,kreo2,DETECTED,orange,510,458,26,24,430
1763877366.584,kreo1,DETECTED,orange,786,428,26,32,606
1763877366.598,kreo2,DETECTED,orange,512,458,24,24,424
1763877366.604,kreo1,DETECTED,orange,786,428,26,32,596
1763877366.619,kreo2,DETECTED,orange,510,458,26,24,442
1763877366.636,kreo1,DETECTED,orange,786,428,26,32,606
1763877366.650,kreo2,DETECTED,orange,512,458,24,26,436
1763877366.668,kreo1,DETECTED,orange,786,428,24,32,580
1763877366.683,kreo2,DETECTED,orange,510,458,26,22,396
1763877366.685,kreo1,DETECTED,orange,786,428,26,32,604
1763877366.697,kreo2,DETECTED,orange,510,458,26,24,446
1763877366.706,kreo1,DETECTED,orange,786,428,26,32,606
1763877366.719,kreo2,DETECTED,orange,512,458,24,24,420
1763877366.736,kreo1,DETECTED,orange,784,428,28,32,632
1763877366.749,kreo2,DETECTED,orange,510,458,26,24,430
1763877366.768,kreo1,DETECTED,orange,786,428,24,32,586
1763877366.781,kreo2,DETECTED,orange,512,458,24,22,408
1763877366.784,kreo1,DETECTED,orange,786,428,26,32,596
1763877366.797,kreo2,DETECTED,orange,510,458,26,24,446
1763877366.805,kreo1,DETECTED,orange,784,428,28,32,618
1763877366.805,kreo1,DETECTED,orange,690,64,12,12,100
1763877366.818,kreo2,DETECTED,orange,510,458,26,26,462
1763877366.836,kreo1,DETECTED,orange,786,428,26,32,610
1763877366.850,kreo2,DETECTED,orange,510,458,26,24,442
1763877366.868,kreo1,DETECTED,orange,784,428,28,32,628
1763877366.881,kreo2,DETECTED,orange,510,460,26,20,374
1763877366.884,kreo1,DETECTED,orange,784,428,28,32,620
1763877366.897,kreo2,DETECTED,orange,512,458,24,22,394
1763877366.906,kreo1,DETECTED,orange,786,428,26,32,598
1763877366.918,kreo2,DETECTED,orange,512,458,24,26,452
1763877366.936,kreo1,DETECTED,orange,784,428,28,32,618
1763877366.949,kreo2,DETECTED,orange,512,458,24,24,424
1763877366.968,kreo1,DETECTED,orange,786,428,24,32,586
1763877366.981,kreo2,DETECTED,orange,510,460,26,20,370
1763877366.984,kreo1,DETECTED,orange,786,428,24,32,586
1763877366.997,kreo2,DETECTED,orange,510,458,26,24,456
1763877367.005,kreo1,DETECTED,orange,786,428,26,32,596
1763877367.018,kreo2,DETECTED,orange,510,458,26,24,456
1763877367.036,kreo1,DETECTED,orange,786,428,26,32,598
1763877367.049,kreo2,DETECTED,orange,510,458,26,24,420
1763877367.068,kreo1,DETECTED,orange,786,428,26,32,614
1763877367.082,kreo2,DETECTED,orange,510,460,26,20,368
1763877367.085,kreo1,DETECTED,orange,784,428,28,32,616
1763877367.098,kreo2,DETECTED,orange,510,458,26,24,446
1763877367.106,kreo1,DETECTED,orange,786,428,26,32,602
1763877367.118,kreo2,DETECTED,orange,512,458,24,24,416
1763877367.136,kreo1,DETECTED,orange,784,428,28,32,620
1763877367.149,kreo2,DETECTED,orange,510,458,26,24,434
1763877367.168,kreo1,DETECTED,orange,784,428,28,32,638
1763877367.181,kreo2,DETECTED,orange,510,460,26,20,378
1763877367.184,kreo1,DETECTED,orange,786,428,26,32,604
1763877367.198,kreo2,DETECTED,orange,510,458,26,24,440
1763877367.204,kreo1,DETECTED,orange,784,428,28,32,610
1763877367.218,kreo2,DETECTED,orange,512,458,24,26,448
1763877367.236,kreo1,DETECTED,orange,784,428,28,32,620
1763877367.250,kreo2,DETECTED,orange,512,458,24,24,424
1763877367.268,kreo1,DETECTED,orange,784,428,28,32,616
1763877367.282,kreo2,DETECTED,orange,510,458,26,24,444
1763877367.285,kreo1,DETECTED,orange,784,428,28,32,626
1763877367.297,kreo2,DETECTED,orange,512,458,24,24,426
1763877367.306,kreo1,DETECTED,orange,784,428,28,32,612
1763877367.306,kreo1,DETECTED,orange,690,64,14,12,118
1763877367.317,kreo2,DETECTED,orange,510,458,26,24,446
1763877367.336,kreo1,DETECTED,orange,786,428,26,32,598
1763877367.349,kreo2,DETECTED,orange,512,460,24,20,350
1763877367.368,kreo1,DETECTED,orange,784,428,28,32,624
1763877367.381,kreo2,DETECTED,orange,510,458,26,22,420
1763877367.385,kreo1,DETECTED,orange,784,428,28,32,622
1763877367.398,kreo2,DETECTED,orange,512,458,24,24,404
1763877367.405,kreo1,DETECTED,orange,786,428,26,32,600
1763877367.418,kreo2,DETECTED,orange,510,458,26,26,468
1763877367.436,kreo1,DETECTED,orange,786,428,26,32,596
1763877367.449,kreo2,DETECTED,orange,512,458,24,22,402
1763877367.468,kreo1,DETECTED,orange,784,428,28,32,620
1763877367.482,kreo2,DETECTED,orange,510,458,26,22,420
1763877367.485,kreo1,DETECTED,orange,784,428,28,32,624
1763877367.497,kreo2,DETECTED,orange,512,458,24,22,402
1763877367.505,kreo1,DETECTED,orange,786,428,26,32,588
1763877367.517,kreo2,DETECTED,orange,512,458,26,26,466
1763877367.536,kreo1,DETECTED,orange,784,428,28,32,628
1763877367.549,kreo2,DETECTED,orange,512,458,24,24,426
1763877367.568,kreo1,DETECTED,orange,784,428,28,32,628
1763877367.581,kreo2,DETECTED,orange,512,460,24,22,374
1763877367.584,kreo1,DETECTED,orange,786,428,26,32,606
1763877367.597,kreo2,DETECTED,orange,510,458,26,22,410
1763877367.604,kreo1,DETECTED,orange,786,428,26,32,590
1763877367.604,kreo1,DETECTED,orange,690,62,12,14,116
1763877367.618,kreo2,DETECTED,orange,510,458,26,24,450
1763877367.636,kreo1,DETECTED,orange,786,428,24,32,584
1763877367.649,kreo2,DETECTED,orange,512,458,24,22,404
1763877367.668,kreo1,DETECTED,orange,784,428,28,32,622
1763877367.682,kreo2,DETECTED,orange,512,458,24,26,450
1763877367.684,kreo1,DETECTED,orange,786,428,26,32,606
1763877367.697,kreo2,DETECTED,orange,512,458,24,22,404
1763877367.706,kreo1,DETECTED,orange,786,428,26,32,594
1763877367.718,kreo2,DETECTED,orange,512,458,24,24,428
1763877367.736,kreo1,DETECTED,orange,784,428,28,32,624
1763877367.749,kreo2,DETECTED,orange,510,458,26,22,412
1763877367.768,kreo1,DETECTED,orange,784,428,26,32,600
1763877367.781,kreo2,DETECTED,orange,512,458,24,22,396
1763877367.784,kreo1,DETECTED,orange,786,428,26,32,610
1763877367.797,kreo2,DETECTED,orange,512,458,24,22,402
1763877367.805,kreo1,DETECTED,orange,786,428,26,32,592
1763877367.818,kreo2,DETECTED,orange,512,458,24,26,426
1763877367.836,kreo1,DETECTED,orange,784,428,26,32,596
1763877367.849,kreo2,DETECTED,orange,512,458,24,22,400
1763877367.868,kreo1,DETECTED,orange,784,428,28,32,628
1763877367.882,kreo2,DETECTED,orange,510,460,26,22,398
1763877367.884,kreo1,DETECTED,orange,784,428,28,32,620
1763877367.897,kreo2,DETECTED,orange,510,458,26,22,422
1763877367.906,kreo1,DETECTED,orange,786,428,26,32,594
1763877367.917,kreo2,DETECTED,orange,512,458,24,24,428
1763877367.936,kreo1,DETECTED,orange,784,428,28,32,612
1763877367.949,kreo2,DETECTED,orange,512,458,24,22,398
1763877367.968,kreo1,DETECTED,orange,786,428,26,32,610
1763877367.981,kreo2,DETECTED,orange,510,460,26,20,380
1763877367.984,kreo1,DETECTED,orange,784,428,28,32,622
1763877367.997,kreo2,DETECTED,orange,512,458,24,22,400
1763877368.004,kreo1,DETECTED,orange,784,428,28,32,618
1763877368.017,kreo2,DETECTED,orange,512,458,24,24,422
1763877368.037,kreo1,DETECTED,orange,786,428,26,32,606
1763877368.049,kreo2,DETECTED,orange,510,458,26,24,444
1763877368.068,kreo1,DETECTED,orange,784,428,26,32,600
1763877368.082,kreo2,DETECTED,orange,510,460,26,20,370
1763877368.084,kreo1,DETECTED,orange,784,428,28,32,624
1763877368.097,kreo2,DETECTED,orange,512,458,24,24,432
1763877368.106,kreo1,DETECTED,orange,784,428,28,32,622
1763877368.118,kreo2,DETECTED,orange,512,458,24,24,422
1763877368.136,kreo1,DETECTED,orange,786,428,26,32,604
1763877368.149,kreo2,DETECTED,orange,510,458,26,24,440
1763877368.168,kreo1,DETECTED,orange,784,428,26,32,602
1763877368.181,kreo2,DETECTED,orange,510,460,26,20,364
1763877368.184,kreo1,DETECTED,orange,784,428,28,32,622
1763877368.198,kreo2,DETECTED,orange,510,458,26,24,442
1763877368.204,kreo1,DETECTED,orange,784,428,28,32,606
1763877368.218,kreo2,DETECTED,orange,512,458,24,24,426
1763877368.236,kreo1,DETECTED,orange,784,428,28,32,620
1763877368.250,kreo2,DETECTED,orange,510,458,26,24,426
1763877368.268,kreo1,DETECTED,orange,784,428,28,32,624
1763877368.282,kreo2,DETECTED,orange,510,460,26,22,392
1763877368.284,kreo1,DETECTED,orange,786,428,26,32,602
1763877368.297,kreo2,DETECTED,orange,512,458,24,22,408
1763877368.306,kreo1,DETECTED,orange,786,428,26,32,608
1763877368.317,kreo2,DETECTED,orange,510,458,26,26,470
1763877368.336,kreo1,DETECTED,orange,784,428,28,32,618
1763877368.349,kreo2,DETECTED,orange,510,460,26,22,384
1763877368.368,kreo1,DETECTED,orange,784,428,28,32,622
1763877368.381,kreo2,DETECTED,orange,512,460,24,20,352
1763877368.384,kreo1,DETECTED,orange,786,428,26,32,602
1763877368.397,kreo2,DETECTED,orange,512,458,24,24,418
1763877368.404,kreo1,DETECTED,orange,786,428,26,32,596
1763877368.417,kreo2,DETECTED,orange,510,458,26,24,458
1763877368.436,kreo1,DETECTED,orange,784,428,28,32,624
1763877368.449,kreo2,DETECTED,orange,512,458,24,26,456
1763877368.468,kreo1,DETECTED,orange,786,428,26,32,612
1763877368.481,kreo2,DETECTED,orange,510,458,26,22,428
1763877368.485,kreo1,DETECTED,orange,784,428,28,32,620
1763877368.497,kreo2,DETECTED,orange,510,460,26,24,414
1763877368.506,kreo1,DETECTED,orange,786,428,26,32,598
1763877368.518,kreo2,DETECTED,orange,510,458,26,26,464
1763877368.536,kreo1,DETECTED,orange,784,428,28,32,628
1763877368.549,kreo2,DETECTED,orange,512,458,24,24,426
1763877368.568,kreo1,DETECTED,orange,784,428,28,32,618
1763877368.581,kreo2,DETECTED,orange,512,458,24,22,404
1763877368.584,kreo1,DETECTED,orange,784,428,28,32,632
1763877368.597,kreo2,DETECTED,orange,512,458,26,22,420
1763877368.604,kreo1,DETECTED,orange,784,428,28,32,622
1763877368.618,kreo2,DETECTED,orange,512,458,26,24,454
1763877368.636,kreo1,DETECTED,orange,784,428,28,32,628
1763877368.650,kreo2,DETECTED,orange,510,458,26,24,446
1763877368.668,kreo1,DETECTED,orange,786,428,26,32,600
1763877368.681,kreo2,DETECTED,orange,510,460,26,22,400
1763877368.684,kreo1,DETECTED,orange,786,428,26,32,606
1763877368.697,kreo2,DETECTED,orange,510,458,26,24,442
1763877368.706,kreo1,DETECTED,orange,786,428,26,32,600
1763877368.717,kreo2,DETECTED,orange,512,458,24,22,394
1763877368.736,kreo1,DETECTED,orange,784,428,28,32,628
1763877368.749,kreo2,DETECTED,orange,512,458,24,24,428
1763877368.768,kreo1,DETECTED,orange,786,428,26,32,612
1763877368.781,kreo2,DETECTED,orange,512,460,24,20,348
1763877368.784,kreo1,DETECTED,orange,784,428,26,32,592
1763877368.798,kreo2,DETECTED,orange,510,458,26,24,438
1763877368.804,kreo1,DETECTED,orange,786,428,26,32,596
1763877368.818,kreo2,DETECTED,orange,510,458,26,24,440
1763877368.836,kreo1,DETECTED,orange,784,428,28,32,622
