timestamp,camera,status,color,x,y,w,h,area
1763875603.367,kreo2,DETECTED,orange,676,608,32,34,814
1763875603.374,kreo1,DETECTED,orange,604,300,26,26,508
1763875603.400,kreo2,DETECTED,orange,676,610,32,32,714
1763875603.406,kreo1,DETECTED,orange,604,304,24,22,380
1763875603.432,kreo2,DETECTED,orange,678,608,30,34,760
1763875603.438,kreo1,DETECTED,orange,604,300,26,28,498
1763875603.448,kreo2,DETECTED,orange,678,610,30,32,722
1763875603.454,kreo1,DETECTED,orange,604,304,26,22,400
1763875603.474,kreo1,DETECTED,orange,604,302,26,24,500
1763875603.500,kreo2,DETECTED,orange,678,610,30,32,708
1763875603.506,kreo1,DETECTED,orange,604,306,26,20,390
1763875603.531,kreo2,DETECTED,orange,676,608,32,36,806
1763875603.538,kreo1,DETECTED,orange,604,302,26,24,472
1763875603.548,kreo2,DETECTED,orange,676,610,32,32,758
1763875603.554,kreo1,DETECTED,orange,604,304,26,22,434
1763875603.569,kreo2,DETECTED,orange,676,608,32,36,834
1763875603.574,kreo1,DETECTED,orange,604,302,26,24,494
1763875603.599,kreo2,DETECTED,orange,676,608,32,34,770
1763875603.606,kreo1,DETECTED,orange,604,302,26,24,464
1763875603.631,kreo2,DETECTED,orange,678,610,30,32,738
1763875603.638,kreo1,DETECTED,orange,604,300,26,26,500
1763875603.647,kreo2,DETECTED,orange,678,608,30,34,776
1763875603.655,kreo1,DETECTED,orange,604,304,26,22,428
1763875603.669,kreo2,DETECTED,orange,676,610,32,32,770
1763875603.674,kreo1,DETECTED,orange,604,300,26,26,506
1763875603.699,kreo2,DETECTED,orange,676,608,32,34,780
1763875603.707,kreo1,DETECTED,orange,604,302,26,24,436
1763875603.730,kreo2,DETECTED,orange,678,608,30,34,750
1763875603.739,kreo1,DETECTED,orange,604,300,26,28,506
1763875603.747,kreo2,DETECTED,orange,678,610,30,32,712
1763875603.754,kreo1,DETECTED,orange,604,306,24,20,378
1763875603.767,kreo2,DETECTED,orange,676,608,32,34,812
1763875603.774,kreo1,DETECTED,orange,604,300,26,26,504
1763875603.799,kreo2,DETECTED,orange,676,608,32,34,762
1763875603.806,kreo1,DETECTED,orange,604,304,26,22,398
1763875603.831,kreo2,DETECTED,orange,676,608,32,34,790
1763875603.838,kreo1,DETECTED,orange,604,300,26,26,492
1763875603.848,kreo2,DETECTED,orange,676,610,32,32,748
1763875603.854,kreo1,DETECTED,orange,604,304,26,22,424
1763875603.868,kreo2,DETECTED,orange,676,610,32,34,782
1763875603.875,kreo1,DETECTED,orange,604,302,26,24,482
1763875603.899,kreo2,DETECTED,orange,678,608,30,34,726
1763875603.908,kreo1,DETECTED,orange,604,304,26,22,422
1763875603.931,kreo2,DETECTED,orange,676,610,32,32,778
1763875603.939,kreo1,DETECTED,orange,604,302,26,24,458
1763875603.948,kreo2,DETECTED,orange,678,610,30,32,732
1763875603.955,kreo1,DETECTED,orange,604,306,24,20,374
1763875603.969,kreo2,DETECTED,orange,676,608,32,34,814
1763875603.974,kreo1,DETECTED,orange,604,300,26,26,504
1763875603.999,kreo2,DETECTED,orange,676,610,32,32,724
1763875604.007,kreo1,DETECTED,orange,604,306,26,20,384
1763875604.031,kreo2,DETECTED,orange,676,608,32,34,780
1763875604.039,kreo1,DETECTED,orange,604,302,26,24,454
1763875604.048,kreo2,DETECTED,orange,676,610,32,32,764
1763875604.054,kreo1,DETECTED,orange,604,304,26,22,432
1763875604.068,kreo2,DETECTED,orange,676,608,32,34,810
1763875604.074,kreo1,DETECTED,orange,604,300,26,26,494
1763875604.099,kreo2,DETECTED,orange,678,610,30,32,686
1763875604.107,kreo1,DETECTED,orange,604,302,26,24,436
1763875604.131,kreo2,DETECTED,orange,676,610,32,32,766
1763875604.149,kreo2,DETECTED,orange,678,610,30,32,734
1763875604.154,kreo1,DETECTED,orange,604,302,26,24,436
1763875604.169,kreo2,DETECTED,orange,676,608,32,36,830
1763875604.174,kreo1,DETECTED,orange,604,300,26,26,486
1763875604.200,kreo2,DETECTED,orange,676,608,32,34,778
1763875604.206,kreo1,DETECTED,orange,604,300,24,26,432
1763875604.232,kreo2,DETECTED,orange,678,610,30,32,738
1763875604.247,kreo2,DETECTED,orange,676,610,32,32,764
1763875604.255,kreo1,DETECTED,orange,604,304,26,22,434
1763875604.276,kreo1,DETECTED,orange,604,300,26,26,498
1763875604.299,kreo2,DETECTED,orange,678,608,30,34,772
1763875604.306,kreo1,DETECTED,orange,604,306,26,20,410
1763875604.331,kreo2,DETECTED,orange,678,608,30,36,782
1763875604.349,kreo2,DETECTED,orange,676,610,32,32,732
1763875604.354,kreo1,DETECTED,orange,604,302,24,24,414
1763875604.368,kreo2,DETECTED,orange,676,608,32,34,792
1763875604.374,kreo1,DETECTED,orange,604,300,26,28,546
1763875604.399,kreo2,DETECTED,orange,678,608,30,34,762
1763875604.406,kreo1,DETECTED,orange,604,306,26,20,406
1763875604.431,kreo2,DETECTED,orange,676,610,32,32,730
1763875604.438,kreo1,DETECTED,orange,604,304,26,24,432
1763875604.448,kreo2,DETECTED,orange,678,608,30,34,752
1763875604.454,kreo1,DETECTED,orange,604,302,26,24,450
1763875604.469,kreo2,DETECTED,orange,676,608,32,34,812
1763875604.474,kreo1,DETECTED,orange,604,300,26,26,504
1763875604.500,kreo2,DETECTED,orange,676,610,32,32,744
