timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1765190302.483,kreo1,579,370,564,,,,,,,,,,True,False
1765190302.504,kreo2,787,255,514,,,,,,,,,,True,True
1765190302.520,kreo1,580,371,524,,,,,,,,,,True,True
1765190302.548,kreo1,580,371,498,,,,,,,,,,True,True
1765190302.544,kreo2,786,256,488,,,,,,,,,,True,True
1765190302.567,kreo1,579,371,568,,,,,,,,,,True,True
1765190302.573,kreo2,787,256,488,,,,,,,,,,True,True
1765190302.600,kreo1,580,372,494,,,,,,,,,,True,True
1765190302.604,kreo2,787,255,510,,,,,,,,,,True,True
1765190302.632,kreo1,581,371,502,,,,,,,,,,True,True
1765190302.637,kreo2,788,255,528,,,,,,,,,,True,True
1765190302.657,kreo2,787,255,514,,,,,,,,,,True,True
1765190302.665,kreo1,580,372,494,,,,,,,,,,True,True
1765190302.688,kreo1,580,372,564,,,,,,,,,,True,True
1765190302.690,kreo2,787,255,494,,,,,,,,,,True,True
1765190302.716,kreo1,580,372,476,,,,,,,,,,True,True
1765190302.721,kreo2,787,254,474,,,,,,,,,,True,True
1765190302.748,kreo1,580,372,514,,,,,,,,,,True,True
1765190302.753,kreo2,787,255,492,,,,,,,,,,True,True
1765190302.765,kreo1,579,371,540,,,,,,,,,,True,True
1765190302.786,kreo1,579,372,494,,,,,,,,,,True,True
1765190302.789,kreo2,787,255,494,,,,,,,,,,True,True
1765190302.817,kreo1,580,371,528,,,,,,,,,,True,True
1765190302.821,kreo2,786,254,494,,,,,,,,,,True,True
1765190302.848,kreo1,580,372,502,,,,,,,,,,True,True
1765190302.853,kreo2,787,255,506,,,,,,,,,,True,True
1765190302.869,kreo1,580,372,510,,,,,,,,,,True,True
1765190302.876,kreo2,786,255,516,,,,,,,,,,True,True
1765190302.903,kreo1,580,372,462,,,,,,,,,,True,True
1765190302.905,kreo2,788,256,500,,,,,,,,,,True,True
1765190302.941,kreo2,787,255,502,,,,,,,,,,True,True
1765190302.941,kreo1,580,371,474,,,,,,,,,,True,True
1765190302.965,kreo1,580,372,520,,,,,,,,,,True,True
1765190302.973,kreo2,787,255,486,,,,,,,,,,True,True
1765190302.985,kreo1,580,371,534,,,,,,,,,,True,True
