timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1765121395.647,kreo1,758,399,200,,,,,,,,,,True,False
1765121395.657,kreo2,370,501,464,,,,,,,,,,True,True
1765121395.678,kreo1,758,399,204,,,,,,,,,,True,True
1765121395.690,kreo2,370,500,488,,,,,,,,,,True,True
1765121395.697,kreo1,,,,,,,,,,,,,False,True
1765121395.722,kreo2,370,501,444,,,,,,,,,,False,True
1765121395.735,kreo1,759,400,150,,,,,,,,,,True,True
1765121395.753,kreo2,370,501,464,,,,,,,,,,True,True
1765121395.767,kreo1,,,,,,,,,,,,,False,True
1765121395.790,kreo2,370,501,496,,,,,,,,,,False,True
1765121395.793,kreo1,,,,,,,,,,,,,False,True
1765121395.814,kreo1,758,400,140,,,,,,,,,,True,True
1765121395.817,kreo2,370,500,488,,,,,,,,,,True,True
1765121395.835,kreo2,370,501,496,,,,,,,,,,True,True
1765121395.847,kreo1,757,399,212,,,,,,,,,,True,True
1765121395.869,kreo2,370,500,480,,,,,,,,,,True,True
1765121395.881,kreo1,758,399,192,,,,,,,,,,True,True
1765121395.894,kreo1,759,399,172,,,,,,,,,,True,True
1765121395.901,kreo2,370,500,472,,,,,,,,,,True,True
1765121395.922,kreo1,759,400,154,,,,,,,,,,True,True
1765121395.939,kreo2,370,502,480,,,,,,,,,,True,True
1765121395.945,kreo1,759,400,152,,,,,,,,,,True,True
1765121395.969,kreo2,370,500,476,,,,,,,,,,True,True
1765121395.978,kreo1,,,,,,,,,,,,,False,True
1765121395.998,kreo1,,,,,,,,,,,,,False,True
1765121396.001,kreo2,370,501,500,,,,,,,,,,False,True
1765121396.033,kreo1,755,399,212,,,,,,,,,,True,True
1765121396.034,kreo2,370,501,464,,,,,,,,,,True,True
1765121396.061,kreo1,758,400,138,,,,,,,,,,True,True
1765121396.069,kreo2,370,500,488,,,,,,,,,,True,True
1765121396.093,kreo1,758,399,192,,,,,,,,,,True,True
