timestamp,ball_3d_x,ball_3d_y,ball_3d_z,car_3d_x,car_3d_y,car_3d_z,cam1_ball_detected,cam2_ball_detected
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.369,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
1763885662.401,,,,,,,True,True
