timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1765121418.393,kreo1,,,,,,,,,,,,,False,False
1765121418.419,kreo2,370,502,498,,,,,,,,,,False,True
1765121418.417,kreo1,758,399,192,,,,,,,,,,True,True
1765121418.449,kreo1,759,400,114,,,,,,,,,,True,True
1765121418.454,kreo2,370,502,476,,,,,,,,,,True,True
1765121418.478,kreo1,757,400,158,,,,,,,,,,True,True
1765121418.488,kreo2,370,502,506,,,,,,,,,,True,True
1765121418.497,kreo1,758,399,196,,,,,,,,,,True,True
1765121418.519,kreo2,370,502,504,,,,,,,,,,True,True
1765121418.532,kreo1,,,,,,,,,,,,,False,True
1765121418.553,kreo2,370,501,512,,,,,,,,,,False,True
1765121418.563,kreo1,,,,,,,,,,,,,False,True
1765121418.586,kreo2,370,501,532,,,,,,,,,,False,True
1765121418.599,kreo1,,,,,,,,,,,,,False,True
1765121418.622,kreo2,370,502,496,,,,,,,,,,False,True
1765121418.630,kreo1,757,400,156,,,,,,,,,,True,True
1765121418.653,kreo2,370,502,510,,,,,,,,,,True,True
1765121418.662,kreo1,758,400,138,,,,,,,,,,True,True
1765121418.693,kreo2,370,501,542,,,,,,,,,,True,True
1765121418.694,kreo1,759,400,154,,,,,,,,,,True,True
1765121418.715,kreo1,,,,,,,,,,,,,False,True
1765121418.718,kreo2,370,502,480,,,,,,,,,,False,True
1765121418.734,kreo2,370,502,498,,,,,,,,,,False,True
1765121418.755,kreo2,370,502,476,,,,,,,,,,False,True
1765121418.777,kreo1,759,400,154,,,,,,,,,,True,True
1765121418.790,kreo2,370,501,490,,,,,,,,,,True,True
1765121418.795,kreo1,757,400,152,,,,,,,,,,True,True
1765121418.818,kreo2,370,501,504,,,,,,,,,,True,True
1765121418.838,kreo1,758,400,138,,,,,,,,,,True,True
1765121418.837,kreo2,370,502,466,,,,,,,,,,True,True
1765121418.862,kreo1,,,,,,,,,,,,,False,True
1765121418.870,kreo2,370,502,474,,,,,,,,,,False,True
1765121418.894,kreo1,759,399,174,,,,,,,,,,True,True
1765121418.901,kreo2,370,501,544,,,,,,,,,,True,True
1765121418.921,kreo1,758,399,194,,,,,,,,,,True,True
1765121418.934,kreo2,370,502,468,,,,,,,,,,True,True
1765121418.952,kreo1,757,400,152,,,,,,,,,,True,True
1765121418.954,kreo2,370,502,472,,,,,,,,,,True,True
1765121418.984,kreo1,757,400,156,,,,,,,,,,True,True
1765121418.986,kreo2,369,502,544,,,,,,,,,,True,True
1765121419.013,kreo1,757,399,178,,,,,,,,,,True,True
1765121419.017,kreo2,370,502,464,,,,,,,,,,True,True
1765121419.037,kreo2,370,501,500,,,,,,,,,,True,True
1765121419.048,kreo1,758,399,198,,,,,,,,,,True,True
1765121419.074,kreo2,370,502,498,,,,,,,,,,True,True
1765121419.077,kreo1,,,,,,,,,,,,,False,True
1765121419.098,kreo1,759,400,154,,,,,,,,,,True,True
