timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1765216247.937,kreo1,1224,429,1112,,,,,,,,,,True,False
1765216247.952,kreo2,380,256,584,,,,,,,,,,True,True
1765216247.970,kreo1,1222,428,972,,,,,,,,,,True,True
1765216247.986,kreo2,378,263,610,,,,,,,,,,True,True
1765216248.002,kreo1,1223,427,1094,,,,,,,,,,True,True
1765216248.025,kreo2,376,270,656,,,,,,,,,,True,True
1765216248.041,kreo1,1223,424,1128,,,,,,,,,,True,True
1765216248.054,kreo2,375,274,604,,,,,,,,,,True,True
1765216248.071,kreo1,1227,422,954,,,,,,,,,,True,True
1765216248.084,kreo2,371,281,630,,,,,,,,,,True,True
1765216248.105,kreo1,1232,421,1024,,,,,,,,,,True,True
1765216248.115,kreo2,367,286,688,,,,,,,,,,True,True
1765216248.139,kreo1,1233,420,1028,,,,,,,,,,True,True
1765216248.149,kreo2,365,290,632,,,,,,,,,,True,True
1765216248.173,kreo1,1237,419,926,,,,,,,,,,True,True
1765216248.179,kreo2,361,296,682,,,,,,,,,,True,True
1765216248.204,kreo1,1235,419,1038,,,,,,,,,,True,True
1765216248.215,kreo2,359,303,670,,,,,,,,,,True,True
1765216248.240,kreo1,1237,419,1062,,,,,,,,,,True,True
1765216248.246,kreo2,358,308,584,,,,,,,,,,True,True
1765216248.269,kreo1,1236,419,930,,,,,,,,,,True,True
1765216248.284,kreo2,356,314,646,,,,,,,,,,True,True
1765216248.300,kreo1,1234,422,1060,,,,,,,,,,True,True
1765216248.320,kreo1,1234,422,932,,,,,,,,,,True,True
1765216248.320,kreo2,355,319,644,,,,,,,,,,True,True
1765216248.349,kreo2,353,322,590,,,,,,,,,,True,True
1765216248.353,kreo1,1236,424,1030,,,,,,,,,,True,True
1765216248.385,kreo1,1235,426,1032,,,,,,,,,,True,True
1765216248.383,kreo2,352,327,612,,,,,,,,,,True,True
1765216248.417,kreo2,351,331,642,,,,,,,,,,True,True
1765216248.421,kreo1,1235,429,900,,,,,,,,,,True,True
1765216248.450,kreo2,350,334,536,,,,,,,,,,True,True
1765216248.453,kreo1,1234,431,984,,,,,,,,,,True,True
1765216248.481,kreo2,349,338,626,,,,,,,,,,True,True
1765216248.485,kreo1,1234,433,944,,,,,,,,,,True,True
1765216248.517,kreo1,1234,435,882,,,,,,,,,,True,True
