timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1764155995.167,kreo2,719,449,666,,,,,,,,,,False,True
1764155995.180,kreo1,568,457,642,,,,,,,,,,True,True
1764155995.189,kreo2,718,448,622,,,,,,,,,,True,True
1764155995.214,kreo1,567,457,688,,,,,,,,,,True,True
1764155995.220,kreo2,719,448,634,,,,,,,,,,True,True
1764155995.244,kreo1,568,457,646,,,,,,,,,,True,True
1764155995.253,kreo2,719,448,608,,,,,,,,,,True,True
1764155995.277,kreo1,567,457,686,,,,,,,,,,True,True
1764155995.289,kreo2,719,448,640,,,,,,,,,,True,True
1764155995.313,kreo1,567,457,692,,,,,,,,,,True,True
1764155995.320,kreo2,719,449,652,,,,,,,,,,True,True
1764155995.346,kreo1,568,457,672,,,,,,,,,,True,True
1764155995.352,kreo2,719,448,610,,,,,,,,,,True,True
1764155995.372,kreo2,719,448,632,,,,,,,,,,True,True
1764155995.378,kreo1,567,457,690,,,,,,,,,,True,True
1764155995.405,kreo2,718,448,596,,,,,,,,,,True,True
1764155995.409,kreo1,567,457,668,,,,,,,,,,True,True
1764155995.430,kreo1,567,457,690,,,,,,,,,,True,True
1764155995.436,kreo2,719,448,638,,,,,,,,,,True,True
1764155995.463,kreo1,567,457,698,,,,,,,,,,True,True
1764155995.473,kreo2,719,449,664,,,,,,,,,,True,True
1764155995.496,kreo1,567,457,690,,,,,,,,,,True,True
1764155995.509,kreo2,718,447,572,,,,,,,,,,True,True
1764155995.531,kreo1,567,457,690,,,,,,,,,,True,True
1764155995.538,kreo2,718,448,596,,,,,,,,,,True,True
1764155995.566,kreo1,567,457,672,,,,,,,,,,True,True
1764155995.568,kreo2,719,448,648,,,,,,,,,,True,True
1764155995.588,kreo2,719,448,640,,,,,,,,,,True,True
1764155995.592,kreo1,568,457,664,,,,,,,,,,True,True
1764155995.621,kreo2,718,448,612,,,,,,,,,,True,True
1764155995.626,kreo1,569,457,684,,,,,,,,,,True,True
1764155995.660,kreo2,719,448,614,,,,,,,,,,True,True
1764155995.662,kreo1,567,457,692,,,,,,,,,,True,True
1764155995.690,kreo2,719,448,658,,,,,,,,,,True,True
1764155995.694,kreo1,568,457,664,,,,,,,,,,True,True
1764155995.724,kreo2,719,448,634,,,,,,,,,,True,True
1764155995.734,kreo1,567,457,694,,,,,,,,,,True,True
1764155995.762,kreo2,719,448,616,,,,,,,,,,True,True
1764155995.790,kreo2,718,448,606,,,,,,,,,,True,True
1764155995.795,kreo1,568,457,664,,,,,,,,,,True,True
1764155995.822,kreo2,719,448,644,,,,,,,,,,True,True
1764155995.826,kreo1,568,457,668,,,,,,,,,,True,True
