timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1763931752.282,kreo2,,,,,,,,,,,,,False,False
1763931752.286,kreo1,,,,,,,,,,,,,False,False
1763931752.305,kreo2,,,,,,,,,,,,,False,False
1763931752.308,kreo1,125,78,600,,,,,,,,,,True,False
1763931752.334,kreo1,124,78,614,,,,,,,,,,True,False
1763931752.336,kreo2,,,,,,,,,,,,,True,False
1763931752.367,kreo2,,,,,,,,,,,,,True,False
1763931752.367,kreo1,125,78,596,,,,,,,,,,True,False
1763931752.383,kreo2,,,,,,,,,,,,,True,False
1763931752.386,kreo1,125,78,590,,,,,,,,,,True,False
1763931752.402,kreo2,,,,,,,,,,,,,True,False
1763931752.406,kreo1,125,78,596,,,,,,,,,,True,False
1763931752.439,kreo2,,,,,,,,,,,,,True,False
1763931752.468,kreo1,,,,,,,,,,,,,False,False
1763931752.470,kreo2,,,,,,,,,,,,,False,False
1763931752.497,kreo1,,,,,,,,,,,,,False,False
1763931752.503,kreo2,,,,,,,,,,,,,False,False
1763931752.531,kreo1,,,,,,,,,,,,,False,False
1763931752.535,kreo2,,,,,,,,,,,,,False,False
1763931752.552,kreo1,,,,,,,,,,,,,False,False
1763931752.567,kreo2,,,,,,,,,,,,,False,False
1763931752.583,kreo2,,,,,,,,,,,,,False,False
1763931752.591,kreo1,125,79,560,,,,,,,,,,True,False
1763931752.603,kreo2,,,,,,,,,,,,,True,False
1763931752.624,kreo1,,,,,,,,,,,,,False,False
1763931752.637,kreo2,,,,,,,,,,,,,False,False
1763931752.656,kreo1,,,,,,,,,,,,,False,False
1763931752.667,kreo2,,,,,,,,,,,,,False,False
1763931752.685,kreo2,,,,,,,,,,,,,False,False
1763931752.692,kreo1,,,,,,,,,,,,,False,False
1763931752.718,kreo1,,,,,,,,,,,,,False,False
1763931752.722,kreo2,,,,,,,,,,,,,False,False
1763931752.753,kreo2,,,,,,,,,,,,,False,False
1763931752.752,kreo1,130,75,206,,,,,,,,,,True,False
1763931752.784,kreo2,,,,,,,,,,,,,True,False
1763931752.792,kreo1,,,,,,,,,,,,,False,False
1763931752.824,kreo2,,,,,,,,,,,,,False,False
1763931752.832,kreo1,,,,,,,,,,,,,False,False
1763931752.858,kreo2,,,,,,,,,,,,,False,False
1763931752.872,kreo1,,,,,,,,,,,,,False,False
1763931752.884,kreo2,,,,,,,,,,,,,False,False
1763931752.912,kreo1,,,,,,,,,,,,,False,False
1763931752.919,kreo2,,,,,,,,,,,,,False,False
1763931752.952,kreo1,,,,,,,,,,,,,False,False
1763931752.953,kreo2,,,,,,,,,,,,,False,False
1763931752.984,kreo2,,,,,,,,,,,,,False,False
1763931752.992,kreo1,,,,,,,,,,,,,False,False
1763931753.014,kreo1,114,91,112,,,,,,,,,,True,False
1763931753.019,kreo2,,,,,,,,,,,,,True,False
1763931753.053,kreo2,,,,,,,,,,,,,True,False
1763931753.054,kreo1,,,,,,,,,,,,,False,False
1763931753.084,kreo2,,,,,,,,,,,,,False,False
1763931753.092,kreo1,118,101,176,,,,,,,,,,True,False
1763931753.119,kreo2,,,,,,,,,,,,,True,False
1763931753.133,kreo1,114,101,118,,,,,,,,,,True,False
1763931753.152,kreo2,,,,,,,,,,,,,True,False
1763931753.182,kreo1,114,101,118,,,,,,,,,,True,False
1763931753.185,kreo2,,,,,,,,,,,,,True,False
1763931753.217,kreo1,119,77,192,,,,,,,,,,True,False
1763931753.220,kreo2,,,,,,,,,,,,,True,False
1763931753.252,kreo2,,,,,,,,,,,,,True,False
1763931753.251,kreo1,,,,,,,,,,,,,False,False
1763931753.280,kreo1,,,,,,,,,,,,,False,False
1763931753.284,kreo2,,,,,,,,,,,,,False,False
1763931753.313,kreo1,,,,,,,,,,,,,False,False
1763931753.321,kreo2,,,,,,,,,,,,,False,False
1763931753.359,kreo1,,,,,,,,,,,,,False,False
1763931753.362,kreo2,,,,,,,,,,,,,False,False
1763931753.390,kreo2,,,,,,,,,,,,,False,False
1763931753.393,kreo1,,,,,,,,,,,,,False,False
1763931753.420,kreo2,,,,,,,,,,,,,False,False
1763931753.441,kreo1,120,85,686,,,,,,,,,,True,False
1763931753.452,kreo2,,,,,,,,,,,,,True,False
1763931753.477,kreo1,,,,,,,,,,,,,False,False
1763931753.486,kreo2,,,,,,,,,,,,,False,False
1763931753.518,kreo1,,,,,,,,,,,,,False,False
1763931753.523,kreo2,,,,,,,,,,,,,False,False
1763931753.552,kreo2,,,,,,,,,,,,,False,False
1763931753.571,kreo1,,,,,,,,,,,,,False,False
1763931753.584,kreo2,,,,,,,,,,,,,False,False
1763931753.591,kreo1,,,,,,,,,,,,,False,False
1763931753.611,kreo1,,,,,,,,,,,,,False,False
1763931753.620,kreo2,,,,,,,,,,,,,False,False
1763931753.632,kreo1,,,,,,,,,,,,,False,False
1763931753.659,kreo2,,,,,,,,,,,,,False,False
1763931753.672,kreo1,,,,,,,,,,,,,False,False
1763931753.691,kreo2,,,,,,,,,,,,,False,False
1763931753.693,kreo1,,,,,,,,,,,,,False,False
1763931753.712,kreo1,,,,,,,,,,,,,False,False
1763931753.719,kreo2,,,,,,,,,,,,,False,False
1763931753.732,kreo1,,,,,,,,,,,,,False,False
1763931753.752,kreo1,,,,,,,,,,,,,False,False
1763931753.753,kreo2,,,,,,,,,,,,,False,False
1763931753.771,kreo1,,,,,,,,,,,,,False,False
1763931753.783,kreo2,,,,,,,,,,,,,False,False
1763931753.791,kreo1,,,,,,,,,,,,,False,False
1763931753.804,kreo2,,,,,,,,,,,,,False,False
1763931753.813,kreo1,121,82,650,,,,,,,,,,True,False
1763931753.832,kreo1,,,,,,,,,,,,,False,False
1763931753.836,kreo2,,,,,,,,,,,,,False,False
1763931753.854,kreo1,120,84,860,,,,,,,,,,True,False
1763931753.868,kreo2,,,,,,,,,,,,,True,False
1763931753.880,kreo1,122,84,1046,,,,,,,,,,True,False
1763931753.893,kreo1,122,87,1128,,,,,,,,,,True,False
1763931753.907,kreo2,,,,,,,,,,,,,True,False
1763931753.917,kreo1,122,89,1102,,,,,,,0.6864167898514787,0.3409881109200802,-0.11013100002438256,True,False
1763931753.936,kreo2,,,,,,,,,,0.6864167898514787,0.3409881109200802,-0.11013100002438256,True,False
1763931753.960,kreo1,125,94,1214,,,,,,,0.6591235674091861,0.27142941741513205,-0.025049043107178648,True,False
1763931753.968,kreo2,,,,,,,,,,0.6591235674091861,0.27142941741513205,-0.025049043107178648,True,False
1763931753.996,kreo1,128,101,1346,,,,,,,0.6531280556800652,0.2581630918737198,-0.008654756187969376,True,False
1763931754.013,kreo2,1256,249,308,,,,,,,0.6531280556800652,0.2581630918737198,-0.008654756187969376,True,True
1763931754.046,kreo1,131,109,1386,,,,,,,0.6588709075324726,0.27090189589516445,-0.02580993118084382,True,True
1763931754.044,kreo2,1251,248,742,,,,,,,0.6588709075324726,0.27090189589516445,-0.02580993118084382,True,True
1763931754.078,kreo2,1247,244,970,,,,,,,0.6643375693008728,0.28671240075695936,-0.04280146681333882,True,True
1763931754.079,kreo1,134,119,1482,,,,,,,0.6643375693008728,0.28671240075695936,-0.04280146681333882,True,True
1763931754.108,kreo2,1242,245,1136,,,,,,,0.6575284533878383,0.2711423623300625,-0.023088234003468322,True,True
1763931754.116,kreo1,136,125,1476,,,,,,,0.6575284533878383,0.2711423623300625,-0.023088234003468322,True,True
1763931754.140,kreo2,1237,242,1140,,,,,,,0.6622950299278014,0.2791825323221342,-0.03521421071248157,True,True
1763931754.161,kreo1,138,129,1462,,,,,,,0.6739938367087439,0.30763793388216704,-0.06899466329237411,True,True
1763931754.172,kreo2,1236,242,1100,,,,,,,0.6739938367087439,0.30763793388216704,-0.06899466329237411,True,True
1763931754.203,kreo1,139,132,1420,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.205,kreo2,1237,242,1070,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.236,kreo2,1234,243,1220,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.235,kreo1,140,135,1484,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.267,kreo2,1234,243,1110,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.276,kreo1,143,136,1452,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.284,kreo2,1234,244,1204,,,,,,,0.6700143815104828,0.30070920069077145,-0.05907693183269133,True,True
1763931754.324,kreo2,1235,243,1102,,,,,,,0.6724474509090381,0.3074579915776099,-0.07048246069792236,True,True
1763931754.353,kreo2,1235,244,1170,,,,,,,0.6579290001989456,0.2687447138924121,-0.02133123176054938,True,True
1763931754.356,kreo1,144,136,1420,,,,,,,0.6579290001989456,0.2687447138924121,-0.02133123176054938,True,True
1763931754.385,kreo2,1234,245,1170,,,,,,,0.6765673188852416,0.3152968627385816,-0.07749705681972746,True,True
1763931754.396,kreo1,144,134,1414,,,,,,,0.6765673188852416,0.3152968627385816,-0.07749705681972746,True,True
1763931754.415,kreo1,144,134,1384,,,,,,,0.671019446804961,0.29965002958058756,-0.059130267435527045,True,True
1763931754.419,kreo2,1234,244,1086,,,,,,,0.671019446804961,0.29965002958058756,-0.059130267435527045,True,True
1763931754.452,kreo2,1234,244,1102,,,,,,,0.6654902879902926,0.2898956801441952,-0.04775896087431983,True,True
1763931754.456,kreo1,144,133,1380,,,,,,,0.6654902879902926,0.2898956801441952,-0.04775896087431983,True,True
1763931754.485,kreo2,1235,246,1144,,,,,,,0.6632628370196341,0.28178846863044726,-0.038379710828007424,True,True
