now_ts,cur_ts,cur_x,cur_y,cur_z,pred_ts,pred_x,pred_y,pred_z,robot_x,robot_y,robot_ts,vreq_x,vreq_y,vreq_mag,can_reach,sigma_x,sigma_y,sigma_z,notes
1763474855.813552,1763474855.8135252,1.0217265198344643,0.012927739929275105,0.5945459723126881,1763474856.2241669,1.129497293769061,-0.4923796773553979,0.25,0.2563771984660407,0.3777557562255626,1763474855.6880786,2.2069945966907207,-2.199450236723551,3.1158315894228497,False,0.02745210809837275,0.12871535886559293,0.08776510487465719,
1763474855.8467398,1763474855.8467138,1.0217265198344643,0.012927739929275105,0.5945459723126881,1763474856.8313444,1.0349945822553341,-0.04928254315110458,0.25,0.24723828768264475,0.3632867013029306,1763474855.7635515,0.8124510722572493,-0.42550256639823597,0.9171309496595562,True,0.0041830301019735935,0.01961307374981262,0.45407814292061,
1763474855.8572643,1763474855.8572156,1.0217265198344643,0.012927739929275105,0.5945459723126881,1763474857.3495288,1.0405676180840813,-0.07541297015144882,0.25,0.24723828768264475,0.3632867013029306,1763474855.7635515,0.5370259188251219,-0.29696758347741103,0.6136665080696351,True,0.004505659872519247,0.021125795707179113,0.7642611998197253,
1763474855.9753215,1763474855.9752967,1.020678206243837,0.011846638767729081,0.5931431401405286,1763474857.1413593,0.3448106190319513,-0.2877801579793646,0.2499999999999999,0.2621729082079279,0.3880906088048039,1763474855.8535607,0.07179408962311323,-0.5871838162055996,0.5915566120994532,True,0.11162924644507705,0.09555205746095534,0.1403587825821241,
1763474856.0872967,1763474856.087229,1.02026632747515,0.011986791247645925,0.5958226346068114,1763474858.219475,1.6327400165291146,2.042509846588033,0.2500000000000001,0.2693693259529298,0.39896109724052886,1763474855.9746807,0.6439564803489699,0.7762920790562706,1.0086175393026537,True,0.21046019462694907,0.8292269770163382,0.6059376973982017,
1763474856.1281009,1763474856.1280677,1.02026632747515,0.011986791247645925,0.5958226346068114,1763474857.869166,1.0238185550136614,-0.3910550433343253,0.25,0.26336236202306496,0.38855734734084246,1763474856.069689,0.4405721579610758,-0.4516703480080663,0.6309595309052767,True,0.0011289162463451292,0.3590215241749712,0.3080518167536084,
1763474856.1383972,1763474856.1383638,1.02026632747515,0.011986791247645925,0.5958226346068114,1763474857.2501283,0.9683238371199133,-0.391055043334464,0.24999999999999994,0.26336236202306496,0.38855734734084246,1763474856.069689,0.6427842756480848,-0.710851023111091,0.9583740407995816,True,0.015881195283151506,0.12322832499025997,0.10573379820607243,
1763474856.1483364,1763474856.1483116,1.02026632747515,0.011986791247645925,0.5958226346068114,1763474857.2105434,0.9683238371198528,-0.3910550433343817,0.25,0.26336236202306496,0.38855734734084246,1763474856.069689,0.6731825571827524,-0.7444682884182443,1.0036970597523438,True,0.01721196843120483,0.13355430757855916,0.11459381768096075,
1763474856.182813,1763474856.1827898,1.0208706157822036,0.01334243122607966,0.5944288977156003,1763474857.3192468,1.1702060870704054,0.3483565837648677,0.25,0.26336236202306496,0.38855734734084246,1763474856.069689,0.8086466565078047,-0.035847646244754755,0.8094408371354515,True,0.031599951322260206,0.07089026351985399,0.07288245925697702,
1763474856.206517,1763474856.2064886,1.0208706157822036,0.01334243122607966,0.5944288977156003,1763474857.6011915,1.1702060870704432,0.3483565837648914,0.2500000000000001,0.26336236202306496,0.38855734734084246,1763474856.069689,0.657288149517215,-0.02913785999747136,0.6579336793180579,True,0.05219637320627089,0.11709558073808336,0.1203862627753308,
1763474856.3231347,1763474856.3231065,1.0220093599991897,0.012398277492390544,0.5929698818655509,1763474862.4418266,1.8108975373240974,-2.6431098169557514,0.25000000000000006,0.26984431394675223,0.3997223579717367,1763474856.2465742,0.252478867423858,-0.4985232240083712,0.5588121181321453,True,0.4472985963267026,1.455411087744987,1.1671526274660455,
1763474856.4425514,1763474856.4425159,1.0253684701550734,0.014002305128770293,0.5932033321120406,1763474857.4077137,1.0576579056631952,0.042560088292646514,0.25,0.2565884527202971,0.3781564322372616,1763474856.3133993,0.8430869885565904,-0.35319897662735567,0.9140816087002471,True,0.007199703139709882,0.012721899559883868,0.3091863641600238,
1763474856.478431,1763474856.4783952,1.0253684701550734,0.014002305128770293,0.5932033321120406,1763474857.4026587,0.6877223504134646,-0.6712613602808579,0.25000000000000006,0.2643296121594254,0.3907378966852968,1763474856.395381,0.4656619364807942,-1.1680234115005073,1.2574258343537905,True,0.140648791223408,0.2424213925744636,0.2859853208122375,
1763474856.4964347,1763474856.4964042,1.0253684701550734,0.014002305128770293,0.5932033321120406,1763474858.1203744,0.15595670034813602,-1.386296035153177,0.25,0.2643296121594254,0.3907378966852968,1763474856.395381,-0.06735672459928609,-1.1044751234409647,1.1065271016331584,True,0.3639967291815576,0.7038687002897596,0.7030750065266451,
1763474856.6355019,1763474856.6354575,1.0266489133223982,0.015568373481803045,0.5944602262951973,1763474857.4044316,1.0363618522127882,0.43202822668954116,0.25,0.26507292879858557,0.3921559622971209,1763474856.481184,1.0230249624474341,0.05288591673556863,1.0243910356790202,True,0.0010966690814895195,0.14385346150277853,0.15645070265880248,
1763474856.6499352,1763474856.6498988,1.0266489133223982,0.015568373481803045,0.5944602262951973,1763474857.2708242,1.0347258418337966,0.20302381132374275,0.2499999999999999,0.26507292879858557,0.3921559622971209,1763474856.481184,1.2702870963666824,-0.3121564627646205,1.3080791124551363,True,0.0008380892131413796,0.12677129498107947,0.07952800693517305,
